"name","release","popularity"
"Aladdin","2019-05-22",99.104
"기생충","2019-05-30",70.741
"Spider-Man: Far from Home","2019-06-28",71.914
"Toy Story 4","2019-06-19",48.099
"Avengers: Endgame","2019-04-24",40.629
"John Wick: Chapter 3 - Parabellum","2019-05-15",54.749
"Dark Phoenix","2019-06-05",52.411
"Men in Black: International","2019-06-12",40.981
"ルパンレンジャーＶＳパトレンジャーＶＳキュウレンジャー","2019-05-03",32.496
"Godzilla: King of the Monsters","2019-05-29",30.714
"映画クレヨンしんちゃん 新婚旅行ハリケーン ～失われたひろし～","2019-04-19",37.193
"Anna","2019-06-19",34.214
"Pokémon Detective Pikachu","2019-05-03",29.499
"Yesterday","2019-06-27",26.877
"Brightburn","2019-05-09",22.638
"The Secret Life of Pets 2","2019-05-24",29.144
"The Dead Don't Die","2019-05-15",21.919
"Rocketman","2019-05-22",26.743
"Hellboy","2019-04-10",24.055
"Long Shot","2019-05-02",22.706
"Child's Play","2019-06-19",21.627
"Annabelle Comes Home","2019-06-26",24.2
"악인전","2019-05-15",11.539
"Breakthrough","2019-04-11",10.894
"Curiosa","2019-04-03",13.621
"ガールズ＆パンツァー 最終章 第2話","2019-06-15",27.757
"After","2019-04-11",23.835
"Booksmart","2019-05-24",19.531
"Pet Sematary","2019-04-04",20.001
"Poms","2019-05-09",12.892
"The Hustle","2019-05-09",17.779
"A Dog's Journey","2019-05-03",16.383
"The Silence","2019-05-16",18.233
"Extremely Wicked, Shockingly Evil and Vile","2019-05-02",13.681
"The Poison Rose","2019-05-23",12.347
"Shaft","2019-06-14",13.782
"Ma","2019-05-29",15.898
"The Curse of La Llorona","2019-04-17",16.141
"I Am Mother","2019-06-07",15.775
"Missing Link","2019-04-04",8.74
"UglyDolls","2019-05-01",17.658
"Murder Mystery","2019-05-25",13.712
"Wild Rose","2019-04-12",13.014
"The Intruder","2019-05-03",10.79
"Daughter of the Wolf","2019-06-14",12.965
"Deadwood: The Movie","2019-05-31",9.679
"Spider in the Web","2019-04-20",12.971
"Il traditore","2019-05-23",11.465
"Stockholm","2019-04-12",17.543
"Escape Plan: The Extractors","2019-06-20",12.809
"I Spit on Your Grave: Deja Vu","2019-04-23",10.163
"The Furies","2019-04-12",8.56
"Tolkien","2019-05-03",12.819
"Hollow Point","2019-06-13",10.32
"The Perfect Date","2019-04-12",13.1
"Beats","2019-06-19",10.598
"Cold Blood Legacy - La mémoire du sang","2019-05-15",6.551
"Zoo","2019-04-05",7.363
"Mon Inconnue","2019-04-03",12.336
"Sibyl","2019-05-24",10.616
"Wine Country","2019-05-08",9.823
"Little","2019-04-04",11.578
"Rim of the World","2019-05-24",9.962
"LUPIN THE IIIRD 峰不二子の嘘","2019-05-31",9.957
"The Head Hunter","2019-04-05",8.277
"Kidnapping Stella","2019-06-29",9.9
"The Sun Is Also a Star","2019-05-16",8.966
"Always Be My Maybe","2019-05-31",10.008
"Homecoming: A Film by Beyoncé","2019-04-17",8.659
"Charlie Says","2019-05-10",6.528
"Game of Thrones: The Last Watch","2019-05-26",11.743
"Roads","2019-05-30",3.276
"Lo spietato","2019-04-08",11.952
"The Last Summer","2019-05-03",10.249
"Avengement","2019-05-24",10.276
"Nous finirons ensemble","2019-05-01",10.402
"Guava Island","2019-04-13",6.884
"Le Daim","2019-06-19",9.165
"See You Yesterday","2019-05-03",8.551
"The Wind","2019-06-06",6.824
"Good Sam","2019-05-16",9.659
"Someone Great","2019-04-19",9.553
"バースデー・ワンダーランド","2019-04-26",4.084
"Domino","2019-05-31",7.935
"The Public","2019-04-05",5.324
"Diego Maradona","2019-06-14",6.311
"Ophelia","2019-06-28",7.757
"Teen Spirit","2019-04-12",10.976
"La Influencia","2019-06-21",7.298
"Terra Willy, planète inconnue","2019-04-03",6.615
"Chamboultout","2019-04-03",7.472
"In Fabric","2019-06-28",8.732
"Killers Anonymous","2019-06-27",8.431
"General Commander","2019-05-28",6.535
"Tell It to the Bees","2019-05-03",6.79
"Crypto","2019-04-12",6.573
"Elisa y Marcela","2019-05-24",6.74
"Turma da Mônica: Laços","2019-06-27",6.179
"The Lonely Island Presents: The Unauthorized Bash Brothers Experience","2019-05-23",6.266
"Assimilate","2019-05-24",5.679
"The Best of Enemies","2019-04-05",8.414
"Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese","2019-06-11",5.318
"Meeting Gorbachev","2019-05-03",5.334
"A Dark Place","2019-04-12",6.959
"Les Crevettes Pailletées","2019-05-08",9.024
"青春ブタ野郎はゆめみる少女の夢を見ない","2019-06-15",4.6
"J.T. LeRoy","2019-04-26",8.419
"Malibu Rescue","2019-05-13",6.356
"The Tomorrow Man","2019-05-22",6.633
"Eat, Drink and Be Married","2019-06-22",6.15
"Hail Satan?","2019-04-19",5.467
"The Last Black Man in San Francisco","2019-06-14",7.331
"Alien Warfare","2019-04-05",12.54
"Les Étoiles Vagabondes","2019-06-06",4.594
"Trial by Fire","2019-05-17",7.355
"We Have Always Lived in the Castle","2019-05-17",6.893
"Above the Shadows","2019-05-31",5.285
"Ma cosa ci dice il cervello","2019-04-18",6.387
"Project Ithaca","2019-06-07",5.039
"Nightmare Cinema","2019-06-21",6.135
"The Convent","2019-05-03",4.104
"At the Heart of Gold: Inside the USA Gymnastics Scandal","2019-05-03",6.734
"The Souvenir","2019-05-17",7.983
"The Biggest Little Farm","2019-06-13",5.796
"Her Smell","2019-04-12",6.267
"Die sagenhaften Vier","2019-04-11",3.752
"名探偵コナン 紺青の拳（フィスト）","2019-04-12",6.171
"PAW Patrol: Mighty Pups","2019-05-17",5.046
"Anthony Jeselnik: Fire in the Maternity Ward","2019-04-30",3.054
"Life Like","2019-05-14",5.917
"Lo dejo cuando quiera","2019-04-12",5.999
"Backdraft 2","2019-05-14",7.491
"Anima","2019-06-27",8.175
"குப்பத்து ராஜா","2019-04-05",5.612
"Zombi Child","2019-06-12",5.65
"In Full Bloom","2019-06-19",11.722
"They Come Knocking","2019-06-07",5.219
"Penguins","2019-04-17",3.091
"Play or Die","2019-05-10",4.389
"Tanguy, le retour","2019-04-10",5.46
"Il campione","2019-04-18",5.674
"Kevin Hart: Irresponsible","2019-04-02",4.763
"Gully","2019-04-27",5.612
"Divino Amor","2019-06-27",2.8
