"name","release","popularity"
"Terminator Genisys","2015-06-23",42.678
"Avengers: Age of Ultron","2015-04-22",32.345
"Inside Out","2015-06-09",31.404
"San Andreas","2015-05-27",24.257
"Ted 2","2015-06-25",24.949
"Jurassic World","2015-06-06",23.425
"Tomorrowland","2015-05-19",23.44
"Furious 7","2015-04-01",21.146
"Last Knights","2015-04-03",11.909
"Mad Max: Fury Road","2015-05-13",25.332
"Poltergeist","2015-05-20",18.381
"Pitch Perfect 2","2015-05-07",24.638
"Knock Knock","2015-06-26",14.261
"Slow West","2015-04-16",9.283
"Survivor","2015-05-21",16.9
"Teen Beach 2","2015-06-26",17.197
"Spy","2015-05-06",10.335
"Maggie","2015-05-08",12.629
"攻殻機動隊 新劇場版","2015-06-20",6.977
"She's Funny That Way","2015-04-22",9.977
"Mr. Holmes","2015-06-19",13.417
"Her Infidelity","2015-04-19",6.786
"Paul Blart: Mall Cop 2","2015-04-16",14.731
"Hot Pursuit","2015-05-08",8.613
"Entourage","2015-06-03",18.967
"The Longest Ride","2015-04-09",9.185
"Far from the Madding Crowd","2015-04-23",9.68
"Hot Girls Wanted","2015-05-29",11.854
"Insidious: Chapter 3","2015-06-04",12.868
"Aloha","2015-05-27",10.372
"Victoria","2015-06-11",8.001
"Sleeping with Other People","2015-06-26",8.515
"Se Dio vuole","2015-04-09",7.103
"Youth","2015-05-20",11.008
"Minions","2015-06-17",11.669
"The Human Centipede 3 (Final Sequence)","2015-05-22",9.516
"Barely Lethal","2015-04-30",9.153
"Þrestir","2015-05-13",9.642
"Grandma","2015-06-04",7.384
"The Benefactor","2015-04-17",7.269
"Love & Mercy","2015-05-29",10.839
"Louder Than Bombs","2015-05-18",7.755
"Careful What You Wish For","2015-05-06",8.614
"Absolutely Anything","2015-06-26",10.008
"Monkey Kingdom","2015-04-17",6.063
"Paper Towns","2015-06-18",9.792
"Ostwind 2","2015-05-14",7.235
"Madame Bovary","2015-06-04",7.548
"Lake Placid vs. Anaconda","2015-04-25",6.422
"Good Kill","2015-04-09",9.3
"Me and Earl and the Dying Girl","2015-06-12",9.488
"Kung Fury","2015-05-22",9.973
"Lost River","2015-04-08",7.89
"The Age of Adaline","2015-04-16",10.71
"Man Up","2015-05-29",9.843
"Unfriended","2015-04-17",9.983
"Return to Sender","2015-05-31",5.758
"Битва за Севастополь","2015-04-02",6.779
"殺破狼2","2015-06-18",7.951
"Ooops! Noah is Gone...","2015-04-09",8.461
"Infini","2015-05-08",7.819
"Spooks: The Greater Good","2015-04-11",8.77
"The Wolfpack","2015-06-12",7.891
"Little Boy","2015-04-23",6.875
"Saul fia","2015-06-11",10.11
"Dope","2015-06-19",10.301
"Reversal","2015-06-26",7.254
"Batman vs. Robin","2015-04-14",8.944
"Soaked in Bleach","2015-06-09",9.387
"Un moment d'égarement","2015-06-24",7.803
"Max","2015-06-26",8.137
"Batman Unlimited: Animal Instincts","2015-05-12",7.196
"ドラゴンボールZ 復活の「F」","2015-04-18",9.235
"Absolution","2015-05-04",6.176
"Pressure","2015-06-04",6.239
"While We're Young","2015-04-03",8.225
"Some Kind of Hate","2015-05-02",5.298
"Desierto","2015-04-12",6.305
"Circle","2015-05-28",6.935
"Requiem for the American Dream","2015-04-18",7.949
"The D Train","2015-05-08",7.923
"4th Man Out","2015-05-26",7.369
"Il racconto dei racconti","2015-05-14",10.6
"True Story","2015-04-17",9.234
"Ashby","2015-04-19",7.978
"Pound of Flesh","2015-05-07",7.745
"The Nightmare","2015-06-05",7.357
"Alex of Venice","2015-04-17",5.047
"Those People","2015-05-16",8.492
"Area 51","2015-05-15",8.275
"Bravetown","2015-05-08",8.691
"We Are Still Here","2015-06-05",6.117
"Tumbledown","2015-04-18",8.621
"The Marine 4: Moving Target","2015-04-10",5.163
"Results","2015-05-29",6.78
"Swung","2015-06-19",3.981
"간신","2015-05-21",7.595
"Daft Punk Unchained","2015-06-24",7.57
"海街diary","2015-06-13",7.139
"Kill Me Three Times","2015-04-10",7.781
"A Royal Night Out","2015-05-14",10.437
"The True Cost","2015-05-29",7.457
"The Death of ""Superman Lives"": What Happened?","2015-05-01",7.967
"Cleveland Abduction","2015-05-02",5.995
"Mojave","2015-04-18",6.126
