"name","release","popularity"
"Black Panther","2018-02-13",39.06
"Ready Player One","2018-03-28",31.398
"Den of Thieves","2018-01-18",20.607
"Maze Runner: The Death Cure","2018-01-10",16.647
"Tomb Raider","2018-03-05",24.009
"Fifty Shades Freed","2018-01-17",20.209
"The Commuter","2018-01-11",19.029
"The Tale","2018-01-20",7.876
"Isle of Dogs","2018-03-23",18.09
"Red Sparrow","2018-02-28",17.187
"Pacific Rim: Uprising","2018-03-21",22.357
"Game Night","2018-02-22",14.241
"Midnight Sun","2018-03-22",12.385
"Death Wish","2018-03-02",15.924
"Love, Simon","2018-02-16",16.395
"Annihilation","2018-02-22",17.138
"Insidious: The Last Key","2018-01-03",15.43
"Unsane","2018-02-21",10.164
"12 Strong","2018-01-16",16.125
"Sherlock Gnomes","2018-03-15",10.138
"A.I. Rising","2018-02-25",11.6
"Gringo","2018-03-08",10.039
"The Strangers: Prey at Night","2018-03-07",11.255
"Samson","2018-02-16",9.898
"Backstabbing for Beginners","2018-01-18",13.347
"The Titan","2018-03-30",11.692
"I Can Only Imagine","2018-02-14",12.575
"Blockers","2018-03-14",12.131
"The Open House","2018-01-19",10.08
"Mute","2018-02-23",8.803
"Ghostland","2018-03-15",11.549
"The 15:17 to Paris","2018-02-02",16.453
"Peter Rabbit","2018-02-07",17.486
"The Cloverfield Paradox","2018-02-04",13.711
"7 Days in Entebbe","2018-03-15",11.737
"I Kill Giants","2018-01-21",10.142
"Winchester","2018-02-02",11.402
"Day of the Dead: Bloodline","2018-01-04",10.453
"Bankier van het Verzet","2018-03-08",10.437
"Eighth Grade","2018-01-19",9.483
"さよならの朝に約束の花をかざろう","2018-02-24",8.228
"Braven","2018-02-01",12.633
"Early Man","2018-01-26",10.708
"Irreplaceable You","2018-02-16",7.802
"A Wrinkle in Time","2018-03-08",11.467
"A Futile and Stupid Gesture","2018-01-24",7.826
"映画ドラえもん のび太の宝島","2018-03-03",10.049
"Duck Duck Goose","2018-03-09",8.251
"Batman: Gotham by Gaslight","2018-01-12",9.588
"Revenge","2018-02-07",9.2
"Acrimony","2018-03-30",9.132
"Z-O-M-B-I-E-S","2018-02-16",11.232
"Errementari","2018-03-02",9.899
"Every Day","2018-02-22",10.977
"Thoroughbreds","2018-03-09",9.295
"Forever My Girl","2018-01-26",12.085
"Ghost Stories","2018-01-20",9.921
"Please Stand By","2018-01-26",6.78
"Permission","2018-02-09",6.64
"Paul, Apostle of Christ","2018-03-23",10.977
"Primal Rage","2018-02-27",8.031
"The Outsider","2018-03-09",9.158
"Guardians of the Tomb","2018-01-19",9.375
"Family Blood","2018-03-16",7.032
"Kickboxer - Retaliation","2018-01-26",10.067
"Proud Mary","2018-01-12",7.882
"红海行动","2018-02-16",7.94
"西游记·女儿国","2018-02-16",6.183
"The Cured","2018-02-23",7.925
"Hellraiser: Judgment","2018-02-13",7.105
"Looking Glass","2018-02-16",8.856
"My Perfect Romance","2018-02-14",8.317
"За гранью реальности","2018-03-01",9.399
"Acts of Violence","2018-01-12",10.037
"The Hurricane Heist","2018-02-28",9.639
"Shirkers","2018-01-21",5.908
"Robin Williams: Come Inside My Mind","2018-01-19",9.682
"When We First Met","2018-02-09",10.795
"6 Balloons","2018-03-12",7.416
"The Mercy","2018-02-09",7.282
"Benji","2018-03-02",7.737
"Викрадена принцеса: Руслан і Людмила","2018-03-07",5.039
"Take Your Pills","2018-03-09",7.546
"Accident Man","2018-02-06",10.742
"Game Over, Man!","2018-03-23",8.756
"Maya the Bee: The Honey Games","2018-02-02",6.453
"Il ragazzo invisibile: Seconda generazione","2018-01-04",6.873
"El aviso","2018-03-10",8.114
"Puoi baciare lo sposo","2018-03-01",6.583
"Josie","2018-03-16",4.924
"குலேபகாவலி","2018-01-12",2.01
"Mary Magdalene","2018-03-15",7.938
"Tout le monde debout","2018-03-14",8.628
"Swinging Safari","2018-01-18",6.818
"Ricky Gervais: Humanity","2018-03-13",7.68
"Happy Anniversary","2018-03-30",5.993
"Step Sisters","2018-01-19",7.922
"La nuit a dévoré le monde","2018-03-07",9.567
"Utøya 22. juli","2018-03-09",7.356
"Demon House","2018-03-16",6.187
"First Match","2018-03-12",7.44
"A casa tutti bene","2018-02-14",8.648
"Scorched Earth","2018-02-02",6.853
"What Keeps You Alive","2018-01-04",6.494
"Lego DC Comics Super Heroes: The Flash","2018-02-13",6.208
"A Wizard's Tale","2018-03-01",6.426
"La ch'tite famille","2018-02-28",6.394
"Flower","2018-03-16",6.998
"End Game","2018-01-21",5.79
"The Rider","2018-03-21",10.308
"Les dents, pipi et au lit","2018-03-28",4.851
"Les Tuche 3","2018-01-31",7.67
"The Farthest","2018-03-15",5.652
"The Last Movie Star","2018-03-30",5.716
"Scooby-Doo! & Batman: The Brave and the Bold","2018-01-09",7.54
"Jim Knopf und Lukas der Lokomotivführer","2018-03-29",6.21
"Status Update","2018-02-09",7.141
"Sweet Country","2018-01-25",6.344
"La tribu","2018-03-16",6.014
"Metti la nonna in freezer","2018-03-15",6.23
"Message Man","2018-03-08",10.309
"Benedetta follia","2018-01-11",5.971
"Croc-Blanc","2018-03-28",6.681
"On Chesil Beach","2018-01-19",7.819
"공즉시색 2","2018-02-01",6.548
"Chris Rock: Tamborine","2018-02-14",6.303
"Padman","2018-02-09",5.4
"L'Apparition","2018-02-14",4.731
"Small Town Crime","2018-01-19",7.508
