"name","release","popularity"
"Jurassic Galaxy","2018-08-20",84.385
"Mission: Impossible - Fallout","2018-07-13",37.608
"Venom","2018-09-28",35.749
"The Hopeful Romantic","2018-09-12",20.033
"Skyscraper","2018-07-11",24.529
"Ant-Man and the Wasp","2018-07-04",26.524
"The Predator","2018-09-05",21.665
"The Meg","2018-08-09",24.684
"To All the Boys I've Loved Before","2018-08-16",25.603
"The Nun","2018-09-05",22.966
"The Spy Who Dumped Me","2018-08-02",13.42
"The Equalizer 2","2018-07-19",19.619
"Sorry to Bother You","2018-07-06",11.291
"Christopher Robin","2018-08-02",14.041
"The First Purge","2018-07-04",26.875
"High Strung Free Dance","2018-09-13",15.741
"Lukas","2018-08-22",11.382
"Skjelvet","2018-08-31",18.959
"I Still See You","2018-09-27",18.073
"The House with a Clock in Its Walls","2018-09-15",14.976
"Colette","2018-09-21",9.987
"Roma","2018-08-25",15.81
"Mile 22","2018-08-16",14.666
"A Simple Favor","2018-08-29",13.266
"Mandy","2018-09-13",12.874
"Peppermint","2018-09-06",11.918
"BlacKkKlansman","2018-07-30",19.644
"Apostle","2018-09-21",11.104
"Crazy Rich Asians","2018-08-15",14.554
"Alpha","2018-08-17",11.972
"Night School","2018-09-27",9.902
"Searching","2018-08-24",14.761
"Down a Dark Hall","2018-08-01",10.592
"Sulla mia pelle","2018-08-29",10.533
"The Package","2018-08-10",11.026
"Assassination Nation","2018-09-21",15.631
"ペンギン・ハイウェイ","2018-08-17",15.24
"Kin","2018-08-29",10.963
"Donnybrook","2018-09-21",3.619
"The Sisters Brothers","2018-09-19",13.316
"Siberia","2018-07-13",11.86
"The Little Mermaid","2018-08-02",12.789
"Teen Titans Go! To the Movies","2018-07-27",11.861
"The Darkest Minds","2018-07-25",12.05
"Extinction","2018-07-26",12.426
"僕のヒーローアカデミア THE MOVIE ～2人の英雄～","2018-08-03",11.144
"Mamma Mia! Here We Go Again","2018-07-09",12.959
"Unfriended: Dark Web","2018-07-19",14.302
"Smallfoot","2018-09-20",13.734
"Skin","2018-09-08",8.964
"Life Itself","2018-09-21",10.122
"Climax","2018-09-19",13.827
"L'amour est une fête","2018-09-19",7.851
"American Woman","2018-09-09",4.364
"The Old Man & the Gun","2018-09-27",10.258
"Redcon-1","2018-09-07",12.729
"Red Joan","2018-09-13",10.302
"Dog Days","2018-08-10",9.826
"Next Gen","2018-09-07",8.492
"Johnny English Strikes Again","2018-09-13",12.808
"White Boy Rick","2018-09-14",10.842
"肆式青春","2018-08-04",9.21
"The Kindergarten Teacher","2018-09-23",9.507
"Where Hands Touch","2018-09-14",8.224
"A-X-L","2018-08-23",11.93
"The Death of Superman","2018-07-03",11.188
"Ballon","2018-09-27",8.72
"Like Father","2018-08-03",8.723
"Destination Wedding","2018-08-02",9.168
"How It Ends","2018-07-13",9.134
"The Miseducation of Cameron Post","2018-07-18",9.27
"Pájaros de verano","2018-08-02",6.648
"Gräns","2018-09-27",11.845
"인랑","2018-07-25",8.168
"Battle","2018-09-28",7.995
"The Domestics","2018-08-23",9.196
"The Happytime Murders","2018-08-22",8.36
"Cuando los ángeles duermen","2018-09-07",7.9
"Pimped","2018-08-24",11.408
"The Wife","2018-08-02",11.274
"Le monde est à toi","2018-08-15",7.012
"UFO","2018-09-04",8.342
"Nappily Ever After","2018-09-21",9.218
"Wildlife","2018-09-23",10.94
"Megalodon","2018-08-13",8.454
"Sierra Burgess Is a Loser","2018-09-07",12.599
"King of Thieves","2018-09-04",9.536
