"name","release","popularity"
"Zootopia","2016-02-11",36.792
"Deadpool","2016-02-09",36.531
"Batman v Superman: Dawn of Justice","2016-03-23",29.389
"Ice Age: The Great Egg-Scapade","2016-03-20",9.637
"Kung Fu Panda 3","2016-01-23",16.712
"Allegiant","2016-03-09",15.276
"Gods of Egypt","2016-02-25",16.023
"10 Cloverfield Lane","2016-03-10",15.569
"The Witch","2016-02-19",12.503
"Dirty Grandpa","2016-01-21",13.049
"London Has Fallen","2016-03-02",18.175
"Exposed","2016-01-22",10.314
"小门神","2016-01-01",15.116
"Sing Street","2016-03-11",15.474
"13 Hours: The Secret Soldiers of Benghazi","2016-01-13",13.415
"Zoolander 2","2016-02-06",12.274
"Sherlock: The Abominable Bride","2016-01-01",10.818
"Hail, Caesar!","2016-02-05",15.08
"Justice League vs. Teen Titans","2016-03-29",8.216
"Fifty Shades of Black","2016-01-28",10.702
"Ride Along 2","2016-01-14",10.973
"The 5th Wave","2016-01-14",11.77
"Miracles from Heaven","2016-03-17",10.596
"Brimstone","2016-03-12",10.822
"Risen","2016-02-18",11.769
"Eddie the Eagle","2016-02-26",12.642
"Crouching Tiger, Hidden Dragon: Sword of Destiny","2016-02-18",11.099
"Robinson Crusoe: The Wild Life","2016-02-04",8.172
"Colonia","2016-02-18",9.954
"Mr. Right","2016-02-29",10.674
"Hush","2016-03-12",10.339
"Pride and Prejudice and Zombies","2016-02-04",11.026
"The Boy","2016-01-22",11.468
"Grimsby","2016-02-24",8.933
"The Other Side of the Door","2016-02-25",9.676
"Hunt for the Wilderpeople","2016-03-31",10.832
"The Finest Hours","2016-01-25",11.25
"Norm of the North","2016-01-14",9.112
"The Belko Experiment","2016-03-17",12.685
"Triple 9","2016-02-19",11.281
"Hot Bot","2016-03-01",11.032
"Barbie: Spy Squad","2016-01-15",9.785
"Elvis & Nixon","2016-03-22",8.891
"The Choice","2016-02-04",11.707
"LEGO Friends: Girlz 4 Life","2016-03-18",9.892
"Cabin Fever","2016-02-12",7.109
"Flaskepost fra P","2016-03-03",9.741
"The Forest","2016-01-07",8.811
"Unfriend","2016-01-07",9.449
"Perfetti sconosciuti","2016-02-11",9.113
"How to Be Single","2016-01-21",9.257
"Misconduct","2016-02-05",8.894
"Midnight Special","2016-02-18",9.866
"Diablo","2016-01-08",6.35
"Viral","2016-02-18",7.493
"Lo and Behold: Reveries of the Connected World","2016-03-04",8.5
"Pandemic","2016-02-26",7.326
"Jeruzalem","2016-01-22",6.694
"Grease Live","2016-01-31",8.479
"The Perfect Match","2016-03-11",6.278
"Batman: Bad Blood","2016-03-22",7.301
"Martyrs","2016-01-22",8.373
"傷物語〈Ⅰ鉄血篇〉","2016-01-08",5.135
"The Osiris Child","2016-02-17",8.446
"Get a Job","2016-03-25",6.923
"Everybody Wants Some!!","2016-03-30",8.817
"Kung Fu Panda: Secrets of the Scroll","2016-01-05",7.967
