"name","release","popularity"
"Divergent","2014-03-14",23.88
"The Lego Movie","2014-02-06",16.139
"The Grand Budapest Hotel","2014-02-26",18.209
"Mr. Peabody & Sherman","2014-02-07",9.769
"Sabotage","2014-03-28",11.513
"RoboCop","2014-01-30",30.204
"Rio 2","2014-03-19",13.838
"300: Rise of an Empire","2014-03-05",17.212
"Non-Stop","2014-02-26",15.4
"Captain America: The Winter Soldier","2014-03-20",18.85
"Noah","2014-03-07",11.616
"Need for Speed","2014-03-13",12.471
"Endless Love","2014-02-12",10.163
"Justice League: War","2014-02-02",9.943
"Pompeii","2014-02-18",11.94
"The Monuments Men","2014-01-24",17.537
"I, Frankenstein","2014-01-22",12.202
"3 Days to Kill","2014-02-14",17.687
"Ride Along","2014-01-07",10.652
"3D 豪情","2014-03-25",27.482
"Jack Ryan: Shadow Recruit","2014-01-15",12.731
"Muppets Most Wanted","2014-03-20",11.828
"The Nut Job","2014-01-17",8.945
"Marvel Studios: Assembling a Universe","2014-03-18",8.377
"The Legend of Hercules","2014-01-10",11.282
"Tinker Bell and the Pirate Fairy","2014-02-13",12.014
"Vampire Academy","2014-02-07",9.143
"Marvel One-Shot: All Hail the King","2014-02-04",10.173
"An American Girl: Isabelle Dances Into the Spotlight","2014-01-01",10.473
"Under the Skin","2014-03-14",18.424
"The Raid 2: Berandal","2014-03-27",8.305
"Paranormal Activity: The Marked Ones","2014-01-01",8.087
"Winter's Tale","2014-02-13",7.41
"Scooby-Doo! WrestleMania Mystery","2014-03-25",9.239
"Kraftidioten","2014-02-21",8.615
"Love Is Strange","2014-02-07",7.771
"Wish I Was Here","2014-01-18",7.087
"The Signal","2014-03-15",10.186
"Haunt","2014-02-19",9.284
"Devil's Due","2014-01-08",8.807
"Rob the Mob","2014-03-21",7.366
"A Long Way Down","2014-03-20",6.588
"Reasonable Doubt","2014-01-17",9.358
"Cloud 9","2014-01-17",8.126
"Sexually Bugged!","2014-02-08",6.863
"Cabin Fever: Patient Zero","2014-02-05",8.162
"Вий","2014-01-30",8.277
"ゲノムハザード ある天才科学者の５日間","2014-01-24",5.786
"About Last Night","2014-02-14",7.18
"God's Not Dead","2014-03-21",7.511
"Bullet","2014-02-25",5.109
"Cuban Fury","2014-02-14",6.439
"The Voices","2014-01-19",8.373
"Faults","2014-03-06",8.209
"Finding Vivian Maier","2014-03-21",8.104
"The Bag Man","2014-02-28",6.873
"Flowers in the Attic","2014-01-18",8.025
"西遊記之大鬧天宮","2014-01-09",7.594
"La Belle et la Bête","2014-02-12",9.901
"The Outsider","2014-03-11",6.611
"A Girl Walks Home Alone at Night","2014-01-19",9.183
"Il capitale umano","2014-01-09",6.074
"Like Sunday, Like Rain","2014-03-01",6.439
"賭城風雲","2014-01-30",4.196
"Alpha House","2014-03-11",7.832
"At the Devil's Door","2014-03-09",5.867
"Mega Shark vs. Mecha Shark","2014-01-28",5.299
"The Single Moms Club","2014-03-14",5.867
"Una donna per amica","2014-02-27",5.178
"Effie Gray","2014-03-08",7.103
"Barefoot","2014-02-02",9.793
"The Better Angels","2014-01-18",8.843
"Monster High: Frights, Camera, Action!","2014-03-25",4.618
"Ocho apellidos vascos","2014-03-14",5.616
"JLA Adventures: Trapped in Time","2014-01-21",6.725
"Asteroid vs Earth","2014-01-01",3.876
"The Pretty One","2014-02-07",6.536
"Dance-Off","2014-01-01",5.719
"Infinitely Polar Bear","2014-01-18",6.701
"Free to Play","2014-03-19",7.538
"Jamesy Boy","2014-01-03",5.94
"Blood Punch","2014-02-21",5.339
"Son of God","2014-02-28",11.742
"Død Snø 2","2014-02-12",7.193
"Redirected","2014-01-10",9.578
"Better Living Through Chemistry","2014-03-14",6.781
"That Awkward Moment","2014-01-29",9.884
"Almost Home","2014-03-07",5.571
"Crazy Murder","2014-01-01",2.088
"Parts Per Billion","2014-03-25",4.167
"Imperial Dreams","2014-01-20",7.028
"Veronica Mars","2014-03-13",8.158
"Moms' Night Out","2014-03-25",7.674
"Exists","2014-03-17",6.986
"Someone Marry Barry","2014-02-07",6.99
"Supercondriaque","2014-02-26",6.52
"Difret","2014-01-19",3.991
"Hoje Eu Quero Voltar Sozinho","2014-03-28",7.092
"John Doe: Vigilante","2014-03-21",5.533
"Date and Switch","2014-02-14",6.251
"Tutta colpa di Freud","2014-01-23",5.951
"Vaterfreuden","2014-02-06",5.58
"Turks & Caicos","2014-03-20",7.205
"Allacciate le cinture","2014-03-06",5.279
"Lizzie Borden Took an Ax","2014-01-25",7.677
"Smetto quando voglio","2014-02-06",7.555
"Elsa & Fred","2014-03-07",5.461
"Diplomatie","2014-03-05",4.441
"Das finstere Tal","2014-02-14",5.963
"Jack et la mécanique du coeur","2014-02-05",5.402
"House of Manson","2014-01-01",3.758
"Cuatro Lunas","2014-03-21",9.665
"Avalanche Sharks","2014-01-01",4.573
"アベンジャーズ コンフィデンシャル：ブラック・ウィドウ ＆ パニッシャー","2014-03-25",6.301
"Android Cop","2014-02-04",4.786
"The Mule","2014-03-10",6.336
"Mea Culpa","2014-02-05",4.881
"Yves Saint Laurent","2014-01-08",7.337
"Salting the Battlefield","2014-03-27",5.943
"Blood Shed","2014-02-05",2.506
"Airplane vs Volcano","2014-03-28",3.895
"ジョバンニの島","2014-02-22",3.166
"Jongens","2014-01-08",7.771
"Alive Inside","2014-01-18",4.887
"The Humbling","2014-03-26",5.366
"And the Oscar Goes To...","2014-02-02",5.282
"Repentance","2014-02-28",5.064
"Le crocodile du Botswanga","2014-02-19",4.528
