"name","release","popularity"
"RED 2","2013-07-18",17.53
"Percy Jackson: Sea of Monsters","2013-08-07",13.139
"Elysium","2013-08-07",15.563
"About Time","2013-08-16",15.614
"We're the Millers","2013-08-07",15.488
"The Mortal Instruments: City of Bones","2013-08-21",14.114
"Pacific Rim","2013-07-11",18.926
"Planes","2013-08-09",14.774
"Snowpiercer","2013-08-01",14.571
"Turbo","2013-07-11",13.588
"Prisoners","2013-09-18",22.926
"2 Guns","2013-08-02",11.072
"Cloudy with a Chance of Meatballs 2","2013-09-26",16.266
"Life of Crime","2013-09-14",9.784
"The Immigrant","2013-07-03",10.032
"Barbie Mariposa & the Fairy Princess","2013-08-26",10.25
"Kick-Ass 2","2013-07-17",11.993
"The Lone Ranger","2013-07-03",16.69
"Riddick","2013-09-02",16.775
"The Family","2013-09-13",11.673
"Begin Again","2013-09-07",14.436
"Rush","2013-09-02",14.276
"Insidious: Chapter 2","2013-09-12",12.498
"A Single Shot","2013-09-19",8.98
"The World's End","2013-07-18",18.143
"Justice League: The Flashpoint Paradox","2013-07-28",10.552
"നീലാകാശം പച്ചക്കടൽ ചുവന്ന ഭൂമി","2013-08-09",13.877
"I Spit on Your Grave 2","2013-08-25",11.581
"An American Girl: Saige Paints the Sky","2013-07-02",10.527
"The Smurfs 2","2013-07-30",11.841
"Machete Kills","2013-09-12",10.427
"The Spectacular Now","2013-08-02",8.888
"Grown Ups 2","2013-07-11",12.746
"Don Jon","2013-07-26",18.673
"Nebraska","2013-09-21",10.103
"Are You Here","2013-09-07",10.94
"Blood Ties","2013-08-22",9.61
"Teen Beach Movie","2013-07-19",10.241
"Horns","2013-09-06",9.194
"The Frozen Ground","2013-07-11",8.85
"Enough Said","2013-09-18",7.932
"The Last Days on Mars","2013-08-11",7.641
"4Closed","2013-08-30",8.215
"Kill Your Darlings","2013-09-19",9.118
"Pawn Shop Chronicles","2013-07-12",8.516
"Austenland","2013-08-15",9.048
"Blue Ruin","2013-09-09",8.481
"R.I.P.D.","2013-07-18",13.106
"Khumba","2013-07-18",9.252
"Nurse 3-D","2013-09-28",10.52
"Runner Runner","2013-09-24",9.186
"Marvel One-Shot: Agent Carter","2013-09-08",9.164
"Paranoia","2013-08-14",10.958
"風立ちぬ","2013-07-20",10.038
"The Canyons","2013-07-29",9.509
"Closed Circuit","2013-08-28",10.085
"Empire State","2013-09-03",8.972
"Crystal Lake Memories: The Complete History of Friday the 13th","2013-09-13",10.115
"Man of Tai Chi","2013-07-04",7.159
"The To Do List","2013-07-24",8.677
"Blue Jasmine","2013-07-25",11.215
"+1","2013-09-20",6.659
"Justin and the Knights of Valour","2013-08-09",9.224
"Jobs","2013-08-16",11.618
"Sharknado","2013-07-11",10.152
"Open Grave","2013-08-13",7.166
"Metallica: Through the Never","2013-09-25",9.643
"Starred Up","2013-09-09",8.388
"Diana","2013-09-19",7.877
"The Zero Theorem","2013-09-20",8.142
"The Art of the Steal","2013-09-11",7.621
"Fruitvale Station","2013-07-25",9.863
"Filth","2013-09-23",12.523
"Jimi: All Is by My Side","2013-09-07",8.069
"In a World...","2013-08-09",6.246
"Lovelace","2013-08-08",8.192
"Generation Iron","2013-09-20",7.661
"All Is Lost","2013-08-23",10.567
"Killing Season","2013-07-12",7.549
"Third Person","2013-09-09",8.654
"In Secret","2013-09-17",9.099
"What If","2013-09-07",10.169
"Bounty Killer","2013-09-05",6.904
"Wolf Creek 2","2013-08-30",9.831
"Battle of the Year","2013-09-21",8.248
"Short Term 12","2013-08-23",9.911
"The Sacrament","2013-09-02",7.603
"Fright Night 2: New Blood","2013-08-31",8.458
"Banshee Chapter","2013-08-26",6.867
"The Love Punch","2013-09-12",6.928
"The Butler","2013-08-16",14.456
"One Direction: This Is Us","2013-08-30",9.436
"Super Buddies","2013-08-07",6.586
"Ain't Them Bodies Saints","2013-07-03",7.253
"Fading Gigolo","2013-09-07",7.233
"Drinking Buddies","2013-08-23",6.502
"劇場版ポケットモンスター ベストウイッシュ 神速のゲノセクト ミュウツー覚醒","2013-07-13",6.779
"Getaway","2013-08-29",7.507
"Kevin Hart: Let Me Explain","2013-07-03",9.12
"How I Live Now","2013-09-10",6.88
"Crystal Fairy & the Magical Cactus","2013-07-12",6.024
"젊은 엄마","2013-07-31",7.861
"One Chance","2013-09-09",8.586
"Scooby-Doo! Stage Fright","2013-08-20",5.203
"Bad Milo!","2013-08-28",7.118
"Coherence","2013-09-19",8.515
"Baggage Claim","2013-09-27",8.091
"Shrek the Musical","2013-09-17",7.284
"Jodorowsky's Dune","2013-08-30",11.549
"Jeune & Jolie","2013-08-20",6.899
"Thanks for Sharing","2013-09-19",9.115
"We Are What We Are","2013-09-27",8.413
"Vikingdom","2013-09-11",6.441
"Swindle","2013-08-23",7.335
"After the Dark","2013-07-06",7.194
"狄仁杰之神都龙王","2013-09-27",11.012
"1","2013-09-30",8.016
"Phineas and Ferb: Mission Marvel","2013-08-16",4.901
"The Borderlands","2013-08-24",5.684
"Romeo & Juliet","2013-09-12",6.341
"狂舞派","2013-08-08",8.45
"Plush","2013-09-13",5.143
"Bad Words","2013-09-06",8.423
"Breakout","2013-09-04",6.102
"Tom à la ferme","2013-09-02",6.443
"Magic Magic","2013-07-26",6.144
"The Lifeguard","2013-08-30",5.952
"Cold Comes the Night","2013-09-20",5.841
"Zombie Hunter","2013-07-25",5.479
"No se Aceptan Devoluciones","2013-07-20",6.917
"Metegol","2013-07-18",6.786
"Jug Face","2013-08-09",6.232
"Antisocial","2013-07-31",4.227
"Frequencies","2013-09-27",5.953
"The Demented","2013-07-30",5.058
"L'Amour Est un Crime Parfait","2013-09-07",4.778
"Chennai Express","2013-08-08",6.084
"Hell Baby","2013-09-06",6.856
"Computer Chess","2013-07-17",5.05
"A Field in England","2013-07-05",6.74
"Evidence","2013-07-19",8.688
"Afternoon Delight","2013-08-30",5.931
"Blood of Redemption","2013-09-23",5.024
"Mr. Morgan's Last Love","2013-08-22",6.734
"Ghost Shark","2013-08-22",4.873
"キャプテンハーロック","2013-09-07",6.923
"C.O.G.","2013-09-20",4.488
"地獄でなぜ悪い","2013-09-14",7.34
"Clear History","2013-08-10",7.126
"そして父になる","2013-09-28",5.975
"Alan Partridge: Alpha Papa","2013-07-24",8.63
"관상","2013-09-11",3.438
"The Armstrong Lie","2013-09-08",6.29
"The Lunchbox","2013-09-20",4.928
"Words and Pictures","2013-09-06",6.462
"Hammer of the Gods","2013-07-05",6.581
"더 테러 라이브","2013-07-31",5.226
"Hateship Loveship","2013-09-07",5.524
"Lucky Them","2013-09-06",4.939
"Pleasure or Pain","2013-09-05",5.242
"Make Your Move","2013-08-07",5.972
"The Crown and the Dragon","2013-07-25",4.453
"And While We Were Here","2013-09-13",5.373
"Séptimo","2013-09-05",5.66
"Nothing Left to Fear","2013-09-26",7.331
"감시자들","2013-07-03",6.505
"Contracted","2013-07-07",7.117
"I'll Follow You Down","2013-07-28",8.536
"Terms and Conditions May Apply","2013-07-12",5.624
"뫼비우스","2013-09-05",4.44
"A Promise","2013-09-04",4.831
"Proxy","2013-09-19",5.205
"RoboCroc","2013-09-14",3.638
"Naked as We Came","2013-09-13",6.219
"Battle of the Damned","2013-07-25",5.387
"Ambushed","2013-09-21",5.762
"Marius","2013-07-09",3.063
"The Grand Seduction","2013-09-08",6.895
"甘い鞭","2013-09-21",3.353
"Antboy","2013-09-07",4.527
"Slightly Single in L.A.","2013-09-03",3.664
"감기","2013-08-14",6.706
"The Hot Flashes","2013-07-12",3.894
"Krampus: The Christmas Devil","2013-08-17",4.3
"Las brujas de Zugarramurdi","2013-09-20",5.931
"Comedy Central Roast of James Franco","2013-09-02",6.409
"Extraction","2013-09-05",3.993
"Salinger","2013-09-06",6.643
"Rewind This!","2013-08-27",5.622
"Scenic Route","2013-08-23",5.113
"The Smurfs: The Legend of Smurfy Hollow","2013-09-12",4.285
"劇場版 あの日見た花の名前を僕達はまだ知らない。","2013-08-31",6.57
"Paris à tout prix","2013-07-15",5.683
"Trap for Cinderella","2013-07-12",3.365
"Feuchtgebiete","2013-08-22",3.947
"Le Grand méchant loup","2013-07-10",4.748
"L'intrepido","2013-09-06",3.181
"Michael Kohlhaas","2013-08-14",5.05
"Blue Caprice","2013-09-12",5.044
"Standing Up","2013-08-16",4.922
"Metro Manila","2013-07-17",4.051
"Dark Touch","2013-09-27",5.261
"Garage Sale Mystery","2013-09-14",3.575
"The Mine","2013-08-15",4.06
"The Unknown Known","2013-08-29",4.992
"भाग मिल्खा भाग","2013-07-12",6.409
"Omnívoros","2013-09-20",3.916
"Jimmy P.","2013-09-11",4.256
"House Party: Tonight's the Night","2013-07-23",5.586
"Universitari - Molto più che amici","2013-09-25",4.133
"Beneath","2013-07-19",5.312
"Ilo Ilo","2013-09-04",3.37
"L'arbitro","2013-09-12",2.886
"The Stag","2013-09-10",3.611
"Christmas Angel","2013-08-25",4.256
"All Is Bright","2013-09-10",4.476
"Autumn Blood","2013-09-10",4.185
"Antarctica: A Year on Ice","2013-09-05",4.38
"Cutie and the Boxer","2013-08-16",5.169
"Stalled","2013-08-24",4.007
"Stonados","2013-08-31",4.069
"Dick Figures: The Movie","2013-09-16",4.873
"Tom and Jerry's Giant Adventure","2013-08-04",5.323
"5 Souls","2013-08-06",3.123
"The Gauntlet","2013-08-23",5.836
"Red Line","2013-07-15",5.447
"Paranormal Whacktivity","2013-07-24",3.18
"White Rabbit","2013-09-20",4.483
"Jayne Mansfield's Car","2013-07-25",4.121
"Systemfehler - Wenn Inge tanzt","2013-07-10",3.982
"Gerontophilia","2013-08-28",2.946
"Stag","2013-08-19",3.602
"Pionér","2013-08-30",3.622
"Fanny","2013-07-10",2.408
"Coffee Town","2013-07-09",5.69
"Libertador","2013-09-09",3.307
"Les reines du ring","2013-07-02",4.08
"Muscle Shoals","2013-08-16",3.252
"All Babe Network","2013-09-24",7.034
"金刚王","2013-09-24",2.533
"Almost Human","2013-09-19",5.109
"Solo","2013-08-29",3.572
"Lost Place","2013-09-19",2.182
"A Teacher","2013-09-06",4.703
"Code Red","2013-09-24",3.996
"Grand Central","2013-08-28",3.682
"Blood Shot","2013-08-01",3.104
"The Dead 2: India","2013-08-22",3.657
"The Wolverine","2013-07-23",3.41
"李碧華鬼魅系列: 迷離夜","2013-07-11",2.309
"Breaking the Girls","2013-07-26",4.605
"Географ глобус пропил","2013-07-26",4.777
"Майор","2013-08-07",3.591
"The Poltergeist of Borley Forest","2013-08-13",3.44
"Joker Rising","2013-09-21",2.849
"Supermensch: The Legend of Shep Gordon","2013-09-07",4.901
