"name","release","popularity"
"Jumanji: The Next Level","2019-12-04",543.811
"Frozen II","2019-11-20",252.002
"Joker","2019-10-02",160.524
"Marriage Story","2019-11-06",151.286
"葉問4","2019-12-20",126.97
"Star Wars: The Rise of Skywalker","2019-12-18",128.907
"The Irishman","2019-11-01",116.976
"6 Underground","2019-12-13",151.529
"Knives Out","2019-11-27",102.471
"Terminator: Dark Fate","2019-10-23",66.914
"Gemini Man","2019-10-02",55.431
"Doctor Sleep","2019-10-30",64.598
"Black Christmas","2019-12-11",57.422
"Ellipse","2019-12-12",11.657
"Ford v Ferrari","2019-11-13",48.66
"Uncut Gems","2019-12-13",30.005
"El Camino: A Breaking Bad Movie","2019-10-11",51.458
"Richard Jewell","2019-12-13",27.893
"Maleficent: Mistress of Evil","2019-10-16",42.851
"Code 8","2019-12-06",58.815
"How to Train Your Dragon: Homecoming","2019-10-25",41.45
"Klaus","2019-11-08",42.608
"Last Christmas","2019-11-07",38.457
"Mob Town","2019-12-13",36.115
"Pपानीपट","2019-12-05",12.393
"Charlie's Angels","2019-11-14",31.769
"Countdown","2019-10-24",27.709
"L'immortale","2019-12-05",29.471
"Midway","2019-11-06",34.843
"A Hidden Life","2019-12-11",14.98
"A Cinderella Story: Christmas Wish","2019-10-15",27.305
"21 Bridges","2019-10-24",25.175
"Zombieland: Double Tap","2019-10-09",28.34
"Matchmaker Christmas","2019-12-14",30.964
"Ordinary Love","2019-12-06",5.22
"Human Nature","2019-12-06",5.32
"Cats","2019-12-19",33.914
"Hard Night Falling","2019-12-10",29.426
"Spies in Disguise","2019-12-24",29.187
"Jack Whitehall: Christmas with my Father","2019-12-12",16.009
"A Christmas Prince: The Royal Baby","2019-12-05",26.063
"Togo","2019-12-20",10.309
"Christmas Unleashed","2019-12-07",25.883
"Michelle Wolf: Joke Show","2019-12-10",11.133
"The Knight Before Christmas","2019-11-21",22.912
"1917","2019-12-10",28.345
"Trauma Center","2019-12-06",29.624
"Running Scared","2019-12-05",6.334
"Invasion Planet Earth","2019-12-05",8.945
"The Addams Family","2019-10-10",27.251
"Pati Patni Aur Woh","2019-12-06",8.916
"Hold On","2019-12-06",4.674
"Koko: A Red Dog Story","2019-12-05",5.233
"The Last Right","2019-12-06",5.792
"Autumnal Sleeps","2019-12-06",3.35
"ルパン三世 THE FIRST","2019-12-06",5.428
"Eve","2019-12-05",3.818
"A Homecoming for the Holidays","2019-12-07",12.215
"The King","2019-10-11",25.588
"StarDog and TurboCat","2019-12-06",3.812
"Recep İvedik 6","2019-11-07",30.793
"Ржев","2019-12-05",9.88
"Docteur ?","2019-12-11",9.366
"午前0時、キスしに来てよ","2019-12-06",7.576
"A Christmas Love Story","2019-12-07",9.998
