"name","release","popularity"
"Star Wars: The Force Awakens","2015-12-15",51.698
"Spectre","2015-10-26",31.578
"Handjob Cabin","2015-10-06",29.402
"葉問3","2015-12-19",18.973
"The Revenant","2015-12-25",24.641
"The Hateful Eight","2015-12-25",21.183
"The Hunger Games: Mockingjay - Part 2","2015-11-18",16.41
"Sisters","2015-12-18",11.987
"Spotlight","2015-11-06",16.615
"Steve Jobs","2015-10-09",9.177
"Creed","2015-11-25",15.751
"The Big Short","2015-12-11",14.452
"Brooklyn","2015-10-20",17.106
"Joy","2015-12-24",11.296
"Point Break","2015-12-03",10.805
"The Night Before","2015-11-20",10.897
"Palmeras en la nieve","2015-12-25",9.538
"Bridge of Spies","2015-10-15",17.582
"The Good Dinosaur","2015-11-14",13.893
"Concussion","2015-11-12",12.573
"Chi-Raq","2015-12-04",8.919
"Room","2015-10-16",14.07
"The Last Witch Hunter","2015-10-21",13.783
"The Danish Girl","2015-11-27",12.26
"The Peanuts Movie","2015-11-01",11.702
"Bone Tomahawk","2015-10-23",8.16
"Daddy's Home","2015-12-25",10.366
"Carol","2015-11-20",13.034
"I Spit on Your Grave III: Vengeance is Mine","2015-10-01",9.962
"Hell & Back","2015-10-02",10.109
"Krampus","2015-11-26",14.058
"Jem and the Holograms","2015-10-22",9.025
"The Ridiculous 6","2015-12-11",8.515
"Jane Got a Gun","2015-12-31",8.141
"Crimson Peak","2015-10-13",10.655
"Open Season: Scared Silly","2015-12-18",9.187
"맛있는 비행","2015-11-01",8.622
"In the Heart of the Sea","2015-11-20",11.26
"Suffragette","2015-10-16",8.945
"Regression","2015-10-01",9.855
"The Lion Guard: Return of the Roar","2015-11-22",6.476
"Fathers and Daughters","2015-10-01",9.154
"Criminal Activities","2015-11-20",9.163
"Taylor Swift: The 1989 World Tour - Live","2015-12-20",9.154
"Trumbo","2015-10-27",10.541
"The Dressmaker","2015-10-01",11.881
"Burnt","2015-10-02",12.369
"Paranormal Activity: The Ghost Dimension","2015-10-21",8.689
"Anomalisa","2015-12-30",9.843
"Love the Coopers","2015-11-12",13.127
"Riley's First Date?","2015-11-03",7.881
"Heist","2015-11-13",8.091
"A Christmas Melody","2015-12-19",8.352
"Freaks of Nature","2015-10-30",8.139
"High-Rise","2015-11-22",10.156
"Where to Invade Next","2015-12-23",8.824
"Victor Frankenstein","2015-11-10",9.199
"Crown for Christmas","2015-11-27",8.681
"A Bigger Splash","2015-11-26",8.824
"The Final Girls","2015-10-09",8.794
"Rock the Kasbah","2015-10-22",10.227
"Extraction","2015-12-18",7.682
"Alvin and the Chipmunks: The Road Chip","2015-12-17",10.877
"Freeheld","2015-10-02",9.102
"By the Sea","2015-11-12",7.261
"Life on the Line","2015-11-05",6.549
"Tremors 5: Bloodlines","2015-10-06",8.258
"Truth","2015-10-16",10.857
"Barbie & Her Sisters in the Great Puppy Adventure","2015-10-07",9.43
"Hello, My Name Is Doris","2015-11-27",8.753
"Secret in Their Eyes","2015-10-14",8.952
"Belle et Sébastien, l'aventure continue","2015-12-07",5.61
"The Hallow","2015-11-06",9.724
"Blackway","2015-10-03",8.525
"Howl","2015-10-01",8.58
"Northpole: Open for Christmas","2015-11-21",9.468
"The Spirit of Christmas","2015-11-28",8.227
"En man som heter Ove","2015-12-25",7.476
"Babysitting 2","2015-12-02",7.753
"Kill Your Friends","2015-11-06",6.266
"The Lady in the Van","2015-11-13",7.741
"Cosmic Scrat-tastrophe","2015-11-06",5.488
"Back in Time","2015-10-20",8.635
"Он - дракон","2015-12-04",11.235
"Miles Ahead","2015-10-10",9.624
"Io che amo solo te","2015-10-22",6.599
"The Exorcism of Molly Hartley","2015-10-09",7.727
"Remember","2015-10-23",6.556
"The Great Gilly Hopkins","2015-10-05",8.312
"L'Hermine","2015-11-18",6.42
"Experimenter","2015-10-16",6.864
"寻龙诀","2015-12-18",7.815
"Invisible Sister","2015-10-09",6.869
"Hyena Road","2015-10-09",6.186
"All Things Must Pass","2015-10-16",5.525
"Tales of Halloween","2015-10-16",8.01
"400 Days","2015-10-29",6.915
"Scouts Guide to the Zombie Apocalypse","2015-10-23",9.196
"A Very Murray Christmas","2015-12-04",8.412
"Mi gran noche","2015-10-23",7.397
"Baskın","2015-12-31",6.192
"Heidi","2015-12-10",7.935
"3-Headed Shark Attack","2015-10-09",6.769
"Sanjay's Super Team","2015-11-25",6.767
"Ithaca","2015-10-29",4.339
"Ronaldo","2015-11-09",7.655
"The Girl King","2015-12-11",8.525
"Under sandet","2015-12-03",8.215
"Ocho apellidos catalanes","2015-11-20",6.28
"Er ist wieder da","2015-10-08",6.353
"Hell House LLC","2015-10-16",6.82
"Made in France","2015-10-27",4.558
"Mon roi","2015-10-21",5.757
"Gli ultimi saranno ultimi","2015-11-12",6.266
"Monster High: Boo York, Boo York","2015-10-19",5.475
"Tanna","2015-10-16",6.492
"Loro chi?","2015-11-19",5.504
"In fondo al bosco","2015-11-19",4.41
"American Hero","2015-12-11",6.267
"용주골","2015-11-19",7.378
"Ange et Gabrielle","2015-11-11",6.051
"12 Gifts of Christmas","2015-11-26",6.479
