"name","release","popularity"
"Oblivion","2013-04-10",26.088
"Man of Steel","2013-06-12",28.742
"Despicable Me 2","2013-06-25",22.536
"World War Z","2013-06-20",16.311
"Iron Man 3","2013-04-18",26.889
"The Purge","2013-05-31",26.311
"Star Trek Into Darkness","2013-05-05",19.394
"Now You See Me","2013-05-29",14.839
"Monsters University","2013-06-20",20.702
"Epic","2013-05-15",14.666
"The Way Way Back","2013-06-06",11.665
"Pain & Gain","2013-04-18",15.571
"The Heat","2013-06-27",14.255
"The Great Gatsby","2013-05-10",18.193
"White House Down","2013-06-27",15.102
"This Is the End","2013-06-12",11.006
"Hummingbird","2013-05-07",15.719
"Evil Dead","2013-04-05",15.068
"The Hangover Part III","2013-05-23",14.814
"Hatchet III","2013-06-14",6.998
"The Big Wedding","2013-04-25",9.346
"Scary Movie 5","2013-04-11",9.64
"After Earth","2013-05-30",11.22
"42","2013-04-12",9.385
"Frances Ha","2013-05-17",9.133
"Before Midnight","2013-04-05",10.45
"Blackfish","2013-06-07",11.217
"Adore","2013-04-03",9.791
"Assault on Wall Street","2013-06-30",9.279
"The Colony","2013-04-12",9.01
"The Congress","2013-05-16",7.661
"Mud","2013-05-01",12.309
"La grande bellezza","2013-05-21",11.487
"12 Rounds 2: Reloaded","2013-06-01",9.505
"The ABCs of Death","2013-06-28",7.965
"The East","2013-05-31",7.22
"Europa Report","2013-06-27",8.716
"Freier Fall","2013-05-27",9.341
"Only God Forgives","2013-05-22",10.301
"The Bling Ring","2013-06-12",8.664
"Legendary: Tomb of the Dragon","2013-05-16",5.397
"20 Feet from Stardom","2013-06-14",8.471
"The Machine","2013-04-25",7.988
"The Numbers Station","2013-04-18",6.552
"Raze","2013-04-21",5.997
"Welcome to the Jungle","2013-04-27",8.074
"言の葉の庭","2013-05-31",11.357
"Legends of Oz: Dorothy's Return","2013-06-13",7.486
"Syrup","2013-06-07",6.683
"The English Teacher","2013-05-16",11.628
"My Little Pony: Equestria Girls","2013-06-16",8.447
