"name","release","popularity"
"Captain America: Civil War","2016-04-27",38.908
"The Nice Guys","2016-05-15",16.975
"X-Men: Apocalypse","2016-05-18",29.394
"The Jungle Book","2016-04-07",22.434
"Independence Day: Resurgence","2016-06-22",16.669
"아가씨","2016-06-01",16.82
"Alice Through the Looking Glass","2016-05-25",19.314
"The Huntsman: Winter's War","2016-04-06",23.067
"The Man Who Knew Infinity","2016-04-08",16.056
"Don't Breathe","2016-06-08",19.408
"The Legend of Tarzan","2016-06-29",16.74
"Now You See Me 2","2016-06-02",16.881
"فروشنده","2016-06-24",11.516
"The Purge: Election Year","2016-06-29",20.854
"Teenage Mutant Ninja Turtles: Out of the Shadows","2016-06-01",13.304
"Warcraft","2016-05-25",16.652
"Ice Age: Collision Course","2016-06-23",17.353
"Neighbors 2: Sorority Rising","2016-05-04",12.874
"The Angry Birds Movie","2016-05-11",19.553
"Central Intelligence","2016-06-15",13.671
"The Conjuring 2","2016-05-13",17.213
"Popstar: Never Stop Never Stopping","2016-06-03",13.325
"Finding Dory","2016-06-16",14.534
"Green Room","2016-04-15",11.571
"The BFG","2016-06-01",13.362
"The Darkness","2016-05-13",9.65
"Me Before You","2016-06-01",15.609
"The Shallows","2016-06-24",12.055
"High Strung","2016-04-08",13.585
"Nerve","2016-06-27",13.675
"A Hologram for the King","2016-04-22",11.263
"정사 : 결혼 말고 연애","2016-04-19",9.306
"Criminal","2016-04-07",11.534
"The Assignment","2016-04-27",11.306
"Bastille Day","2016-04-22",9.621
"Lea to the Rescue","2016-05-30",9.959
"The Neon Demon","2016-06-08",13.911
"곡성","2016-05-12",9.305
"இது நம்ம ஆளு","2016-05-27",6.788
"Free State of Jones","2016-06-24",10.416
"Never Back Down: No Surrender","2016-06-07",12.373
"Mike and Dave Need Wedding Dates","2016-06-15",9.596
"Ratchet & Clank","2016-04-13",11.206
"Piper","2016-06-16",12.134
"The Secret Life of Pets","2016-06-18",7.489
"I Am Wrath","2016-04-14",11.174
"Daylight's End","2016-04-16",7.385
"Lemonade","2016-04-23",8.233
"Genius","2016-06-10",8.684
"The Duel","2016-06-24",8.96
"젊은엄마 : 디 오리지널","2016-06-23",9.883
"Money Monster","2016-05-12",11.4
"Colossal","2016-06-30",10.034
"Golden Years","2016-04-29",4.454
"The Boss","2016-04-07",8.366
"Wiener-Dog","2016-06-24",10.321
"Love & Friendship","2016-05-26",10.543
"Florence Foster Jenkins","2016-05-06",8.793
"The Meddler","2016-04-05",7.999
"Pelé: Birth of a Legend","2016-05-06",7.83
