"name","release","popularity"
"君の名は。","2016-08-26",28.19
"Ghostbusters","2016-07-14",23.709
"A Cinderella Story: If the Shoe Fits","2016-08-02",20.631
"Kubo and the Two Strings","2016-08-18",19.532
"The Magnificent Seven","2016-09-14",16.216
"Boyka: Undisputed IV","2016-08-01",19.56
"Miss Peregrine's Home for Peculiar Children","2016-09-28",19.129
"Star Trek Beyond","2016-07-07",21.68
"Hell or High Water","2016-08-12",13.223
"聲の形","2016-09-17",15.302
"Bad Moms","2016-07-28",11.776
"부산행","2016-07-20",14.038
"Sully","2016-09-07",14.281
"Storks","2016-09-22",12.855
"Sausage Party","2016-07-11",13.152
"War Dogs","2016-08-17",13.574
"Jason Bourne","2016-07-27",18.425
"Snowden","2016-09-15",12.302
"Suicide Squad","2016-08-03",16.935
"The Founder","2016-09-13",12.248
"Contratiempo","2016-09-22",14.343
"Captain Fantastic","2016-07-02",13.489
"Deepwater Horizon","2016-09-29",12.786
"Mechanic: Resurrection","2016-08-25",12.864
"Batman: The Killing Joke","2016-07-21",20.009
"Cell","2016-07-06",8.906
"Skiptrace","2016-07-21",8.784
"Blood Father","2016-08-11",12.246
"Collide","2016-08-04",9.817
"David Brent: Life on the Road","2016-08-19",10.8
"Precious Cargo","2016-07-15",9.009
"ポケモン・ザ・ムービーXY&Z ボルケニオンと機巧のマギアナ","2016-07-16",6.618
"Anthropoid","2016-08-12",9.174
"Pete's Dragon","2016-08-10",12.561
"Rock Dog","2016-07-08",11.48
"The Siege of Jadotville","2016-09-19",10.063
"Morgan","2016-09-01",10.657
"XOXO","2016-08-26",10.383
"Certain Women","2016-09-25",8.736
"Ben-Hur","2016-08-17",11.211
"American Honey","2016-09-30",8.985
"Marauders","2016-07-01",10.563
"シン・ゴジラ","2016-07-29",10.356
"31","2016-09-15",9.674
"The Light Between Oceans","2016-09-02",10.491
"The Beatles: Eight Days a Week - The Touring Years","2016-09-15",9.329
"Amanda Knox","2016-09-10",9.384
"ワンピース　フィルム GOLD","2016-07-23",8.997
"The 9th Life of Louis Drax","2016-09-01",7.149
"터널","2016-08-10",5.842
"ARQ","2016-09-16",8.462
"Kickboxer: Vengeance","2016-07-14",7.83
"Blair Witch","2016-09-15",12.656
"USS Indianapolis: Men of Courage","2016-09-22",10.101
"The Girl with All the Gifts","2016-09-23",11.37
"The Hollars","2016-08-25",9.427
"The Midnight Man","2016-09-30",7.605
"Complete Unknown","2016-08-26",6.34
"The Infiltrator","2016-07-13",9.649
"Lights Out","2016-07-21",12.434
"Juste la fin du monde","2016-08-26",7.665
"밀정","2016-09-07",8.489
"Team Thor","2016-08-28",7.367
"Yoga Hosers","2016-07-08",7.798
"For the Love of Spock","2016-09-09",12.357
"Hacker","2016-09-15",11.283
"Hands of Stone","2016-08-26",8.61
"I Am Not a Serial Killer","2016-08-26",8.982
"Masterminds","2016-09-29",10.184
"Nine Lives","2016-08-03",10.594
"Don't Kill It","2016-08-27",6.659
"Good Kids","2016-07-29",7.092
"Better Watch Out","2016-09-22",10.279
"The Good Neighbor","2016-09-16",8.128
"Дуэлянт","2016-09-29",5.342
"Toni Erdmann","2016-07-14",7.453
"The Disappointments Room","2016-09-09",8.643
"I.T.","2016-09-09",9.926
"Sniper: Ghost Shooter","2016-08-02",5.74
"Bridget Jones's Baby","2016-09-14",11.482
"Imperium","2016-08-19",8.127
"Mr. Church","2016-09-16",6.993
"The Birth of a Nation","2016-09-09",8.225
"Zero Days","2016-07-08",8.013
"Smaragdgrün","2016-07-07",9.031
"Divines","2016-08-31",7.982
"Audrie & Daisy","2016-09-23",11.27
