"name","release","popularity"
"Avengers: Infinity War","2018-04-25",82.669
"Deadpool 2","2018-05-10",48.614
"Solo: A Star Wars Story","2018-05-15",38.659
"Jurassic World: Fallen Kingdom","2018-06-06",31.931
"Sicario: Day of the Soldado","2018-06-27",18.142
"Incredibles 2","2018-06-14",29.319
"Upgrade","2018-06-01",18.883
"Hereditary","2018-06-07",21.893
"The Kissing Booth","2018-05-11",23.537
"Hotel Transylvania 3: Summer Vacation","2018-06-28",15.883
"A Quiet Place","2018-04-03",22.592
"Rampage","2018-04-12",18.601
"Ocean's Eight","2018-06-07",18.711
"버닝","2018-05-17",17.044
"Hotel Artemis","2018-06-07",15.728
"Escape Plan 2: Hades","2018-06-05",16.987
"Office Uprising","2018-06-19",6.552
"Deep Blue Sea 2","2018-04-17",14.769
"Won't You Be My Neighbor?","2018-06-08",11.913
"万引き家族","2018-06-02",14.213
"Bao","2018-06-15",8.489
"I Feel Pretty","2018-04-19",14.949
"GODZILLA 決戦機動増殖都市","2018-05-18",8.994
"Tag","2018-05-30",12.562
"Astérix - Le Secret de la Potion Magique","2018-05-12",15.568
"211","2018-06-01",9.927
"Leave No Trace","2018-06-29",11.404
"Truth or Dare","2018-04-12",14.901
"Tully","2018-05-04",12.877
"Todos lo saben","2018-05-09",8.545
"Anon","2018-05-03",8.735
"Overboard","2018-05-03",14.137
"The Endless","2018-04-06",9.566
"Suicide Squad: Hell to Pay","2018-05-09",9.915
"Hearts Beat Loud","2018-06-08",10.014
"First Reformed","2018-05-18",10.857
"Den skyldige","2018-06-14",8.61
"Three Identical Strangers","2018-06-29",10.206
"Mary Shelley","2018-04-22",10.538
"La chute de l'empire américain","2018-06-28",8.554
"10 x 10","2018-04-13",9.429
"The Man Who Killed Don Quixote","2018-05-19",9.306
"The Guernsey Literary & Potato Peel Pie Society","2018-04-19",10.349
"Traffik","2018-04-20",10.341
"నా పేరు సూర్య","2018-04-27",13.578
"SuperFly","2018-06-13",10.014
"Super Troopers 2","2018-04-19",7.397
"Dude","2018-04-20",8.92
"Set It Up","2018-06-12",13.649
"Perdida","2018-04-19",9.523
"Gotti","2018-06-14",12.442
"Black Water","2018-05-18",9.167
"Jelita Sejuba","2018-04-07",9.306
"The Jurassic Games","2018-05-21",11.591
"Under the Silver Lake","2018-06-21",13.016
"ニンジャバットマン","2018-04-24",10.098
"McQueen","2018-06-08",6.383
"The Catcher Was a Spy","2018-06-22",8.603
"Adrift","2018-05-31",12.538
"Future World","2018-05-25",8.368
"Terminal","2018-05-11",9.524
"Dogman","2018-05-17",10.81
"Rimetti a noi i nostri debiti","2018-05-04",6.523
"Patrick","2018-06-29",13.887
"Action Point","2018-06-01",9.393
"A Prayer Before Dawn","2018-05-24",11.214
"Lake Placid: Legacy","2018-05-28",6.793
"Fahrenheit 451","2018-05-12",10.552
"A Kid Like Jake","2018-06-01",4.412
"Ibiza","2018-05-25",8.16
"Tau","2018-06-20",12.036
"Tremors: A Cold Day in Hell","2018-05-01",7.794
"American Animals","2018-06-01",11.091
"Paterno","2018-04-07",6.977
"The Miracle Season","2018-04-13",7.326
"Candy Jar","2018-04-27",9.514
"In Darkness","2018-05-25",8.341
