"name","release","popularity"
"Doctor Strange","2016-10-25",29.603
"Rogue One: A Star Wars Story","2016-12-14",35.984
"La La Land","2016-11-29",24.014
"Hidden Figures","2016-12-10",23.33
"Lion","2016-11-24",21.779
"Fantastic Beasts and Where to Find Them","2016-11-16",27.206
"Allied","2016-11-17",16.669
"Hacksaw Ridge","2016-10-07",18.284
"Underworld: Blood Wars","2016-11-24",16.524
"Arrival","2016-11-10",26.67
"Manchester by the Sea","2016-11-18",16.229
"Trolls","2016-10-13",20.396
"The Eagle Huntress","2016-11-02",13.349
"젊은 형부","2016-10-11",19.11
"Sing","2016-11-23",23.876
"Jack Reacher: Never Go Back","2016-10-19",14.908
"Moonlight","2016-10-21",12.977
"Passengers","2016-12-21",14.242
"Nocturnal Animals","2016-11-04",16.186
"The Great Wall","2016-12-16",15.155
"Inferno","2016-10-13",15.452
"Ballerina","2016-12-14",12.548
"Office Christmas Party","2016-11-25",14.734
"American Pastoral","2016-10-20",9.727
"Fences","2016-12-16",10.352
"The Accountant","2016-10-13",16.675
"Silence","2016-12-22",12.765
"Ouija: Origin of Evil","2016-10-20",9.109
"Collateral Beauty","2016-12-06",9.969
"A Monster Calls","2016-10-07",10.351
"Keeping Up with the Joneses","2016-10-20",17.973
"The Edge of Seventeen","2016-11-18",9.701
"Personal Shopper","2016-10-19",10.608
"Monster Trucks","2016-12-26",12.19
"Assassin's Creed","2016-12-21",13.804
"20th Century Women","2016-12-28",10.097
"Bad Santa 2","2016-11-23",11.115
"Patriots Day","2016-12-12",9.304
"El faro de las orcas","2016-12-16",12.511
"The Girl on the Train","2016-10-05",12.698
"Bleed for This","2016-11-04",9.718
"Compulsion","2016-11-19",5.393
"The Autopsy of Jane Doe","2016-12-21",9.313
"Honey 3: Dare to Dance","2016-11-30",9.675
"Why Him?","2016-12-22",11.724
"The Hollow Point","2016-12-16",7.866
"Enter the Warriors Gate","2016-11-18",10.921
"Live by Night","2016-12-25",9.705
"Miss Sloane","2016-11-25",12.243
"미용실 : 특별한 서비스","2016-12-29",10.806
"Gold","2016-12-22",9.837
"13th","2016-10-07",19.767
"The Limehouse Golem","2016-10-18",9.292
"A Kind of Murder","2016-12-16",9.963
"A Cinderella Christmas","2016-12-03",14.361
"The Rocky Horror Picture Show: Let's Do the Time Warp Again","2016-10-20",8.688
"War on Everyone","2016-10-07",8.835
"Grave","2016-11-11",10.434
"Don't Hang Up","2016-10-22",8.051
"Loving","2016-11-04",9.86
"A December Bride","2016-11-20",11.58
"내 아내의 언니","2016-12-20",5.406
"Incarnate","2016-12-01",10.007
"Spectral","2016-12-09",9.316
"Mine","2016-10-06",8.528
"I, Daniel Blake","2016-10-21",10.482
"Jackie","2016-12-02",10.851
"दंगल","2016-12-21",7.486
"Trespass Against Us","2016-10-14",8.036
"Hart Beat","2016-10-12",10.605
"Rupture","2016-11-04",8.602
"Paterson","2016-11-17",9.462
"Shut In","2016-11-11",10.042
"Rules Don't Apply","2016-11-23",8.093
"Virtual Revolution","2016-10-12",15.575
"Man Down","2016-12-02",6.554
"A Wish for Christmas","2016-11-05",7.466
"Planetarium","2016-10-12",6.301
"Before the Flood","2016-10-21",9.845
"Rocco","2016-11-30",9.389
"In a Valley of Violence","2016-10-21",9.494
"판도라","2016-12-07",8.752
"Arès","2016-11-23",5.654
"Lady Macbeth","2016-12-12",10.616
"La Fille inconnue","2016-10-05",5.354
"Terrifier","2016-10-15",7.47
"À fond","2016-11-11",6.591
"Supersonic","2016-10-02",8.976
"Batman: Return of the Caped Crusaders","2016-10-08",7.028
"Mal de pierres","2016-10-19",6.422
"A Quiet Passion","2016-10-07",7.718
"この世界の片隅に","2016-11-12",8.711
"A Dark Song","2016-10-14",8.346
"The Promise","2016-12-02",10.082
"King Cobra","2016-10-21",8.672
"Boo! A Madea Halloween","2016-10-21",8.387
"GANTZ:O","2016-10-14",7.605
"The Secret Scripture","2016-11-04",8.001
"Fallen","2016-11-10",8.24
"The Late Bloomer","2016-10-07",7.36
"The Love Witch","2016-11-11",7.739
"True Memoirs of an International Assassin","2016-11-11",10.647
"زیر سایه","2016-10-07",6.523
"Max Steel","2016-10-14",7.529
"Always Shine","2016-11-25",7.022
"Christine","2016-10-14",9.134
"Que Dios nos perdone","2016-10-28",7.104
"Réparer les vivants","2016-11-01",5.95
"Within","2016-10-18",9.472
"Викинг","2016-12-29",6.804
"The Monster","2016-11-11",8.27
"Demain tout commence","2016-12-07",7.945
"The Comedian","2016-12-09",5.807
"A United Kingdom","2016-11-25",8.616
"Come and Find Me","2016-11-11",7.521
"Mascots","2016-10-11",8.238
"Middle School: The Worst Years of My Life","2016-10-07",7.457
"Mindhorn","2016-10-09",7.632
"Siren","2016-12-02",6.467
"3 Generations","2016-10-27",7.829
"Army of One","2016-11-04",7.206
"L'Odyssée","2016-10-12",8.397
"Lavender","2016-11-04",8.654
"Almost Adults","2016-10-15",7.235
"My Little Pony: Equestria Girls - Legend of Everfree","2016-10-01",8.933
"鐵道飛虎","2016-12-23",8.168
"Billy Lynn's Long Halftime Walk","2016-11-10",8.361
"Hairspray Live!","2016-12-07",7.269
"The Thinning","2016-10-12",8.176
"Kevin Hart: What Now?","2016-10-14",6.181
"Dog Eat Dog","2016-11-04",9.78
"Slam - Tutto per una ragazza","2016-11-20",6.31
"This Beautiful Fantastic","2016-10-20",7.129
"Almost Christmas","2016-11-11",9.359
"Barbie & Her Sisters in a Puppy Chase","2016-10-04",7.513
"The Red Pill","2016-10-14",7.944
"100 metros","2016-11-04",6.008
"Qualcosa di nuovo","2016-10-13",6.771
"Frank & Lola","2016-12-09",6.843
"A Nutcracker Christmas","2016-12-10",4.676
"The Eyes of My Mother","2016-12-02",7.536
"The Greasy Strangler","2016-10-07",6.328
"1:54","2016-10-13",4.281
"Brice 3","2016-10-19",6.434
"28 панфиловцев","2016-11-24",3.652
"The Swap","2016-10-07",7.138
"I'll Be Home for Christmas","2016-11-27",5.423
"It Stains the Sands Red","2016-10-08",5.618
"Papa ou maman 2","2016-12-07",6.054
"100 Streets","2016-11-11",7.238
"The Mistletoe Promise","2016-11-05",6.104
"Ae Dil Hai Mushkil","2016-10-27",6.408
"Ozzy","2016-10-14",5.926
"Phantasm: Ravager","2016-10-07",6.332
"Moana","2016-11-23",6.246
"My Christmas Dream","2016-11-19",4.779
"Journey Back to Christmas","2016-11-27",7.651
"Hounds of Love","2016-10-07",8.607
"Tamara","2016-10-26",6.199
"Blue Jay","2016-10-07",6.261
"Dalida","2016-11-30",4.761
"Abattoir","2016-12-08",7.249
"Wolves at the Door","2016-10-21",7.971
"Patient Seven","2016-10-11",6.003
"Hjartasteinn","2016-12-28",3.674
"Vier gegen die Bank","2016-12-25",6.101
"Sugar Mountain","2016-12-09",4.43
"Iris","2016-11-16",5.092
