"name","release","popularity"
"El árbol de la sangre","2018-10-31",5.944
"Vildheks","2018-11-01",7.533
"Ti presento Sofia","2018-10-31",5.742
"The New Romantic","2018-11-09",4.278
"At First Light","2018-10-05",6.216
"All Is True","2018-12-21",4.665
"Adam Sandler: 100% Fresh","2018-10-23",7.524
"The Oath","2018-10-12",6.683
"Moschettieri del Re","2018-12-27",8.042
"Au bout des doigts","2018-12-26",5.42
"L'Homme fidèle","2018-12-26",5.292
"Matriarch","2018-11-02",5.736
"Проводник","2018-11-29",3.771
"Poinsettias for Christmas","2018-11-23",6.9
"Mingle All the Way","2018-12-01",5.773
"地球最后的夜晚","2018-10-07",5.259
"Christmas on Honeysuckle Lane","2018-11-24",3.433
"Clara","2018-11-30",5.855
"We the Animals","2018-10-06",6.409
"Here and Now","2018-11-09",8.142
"Nekrotronic","2018-10-01",5.333
"Le Flic de Belleville","2018-10-17",5.968
"Agatha and the Truth of Murder","2018-12-23",7.332
"Holiday","2018-10-11",3.866
"The Panama Papers","2018-10-06",5.361
"The American Meme","2018-12-07",6.149
"Quién te cantará","2018-10-24",5.293
"What They Had","2018-10-19",5.441
"Robin Hood: The Rebellion","2018-11-05",4.684
"Un homme pressé","2018-11-07",6.47
"Coldplay: A Head Full of Dreams","2018-11-14",6.416
"Euforia","2018-10-25",6.717
"After Everything","2018-10-12",5.163
"Amanda","2018-11-21",6.165
"The Super","2018-11-08",5.513
"Spare Room","2018-12-02",8.155
"The Field Guide to Evil","2018-10-11",5.118
"Don't Go","2018-10-26",4.087
"Beyond White Space","2018-12-14",6.468
"Henchmen","2018-12-07",4.049
"La befana vien di notte","2018-12-27",11.539
"Seven in Heaven","2018-10-05",4.977
"Dragon Kingdom","2018-11-26",5.65
"Io sono Tempesta","2018-11-22",5.103
"Bigger","2018-10-13",2.964
"No Sleep 'Til Christmas","2018-12-10",3.447
"Another Day of Life","2018-10-26",4.743
"Backtrace","2018-12-14",8.76
"Auntie Edna","2018-10-23",4.324
"Head Full of Honey","2018-11-30",5.698
"Les Salopes ou le sucre naturel de la peau","2018-11-02",5.335
"Free Rein: The Twelve Neighs of Christmas","2018-12-07",6.131
"ராட்சசன்","2018-10-05",10.185
"Der Junge muss an die frische Luft","2018-12-25",5.569
"The Christmas Contract","2018-11-22",4.311
"Se son rose","2018-11-29",5.256
"Christmas Harmony","2018-11-24",6.234
"Sauver ou périr","2018-11-28",4.707
"Christmas Joy","2018-11-03",4.014
"Northern Lights of Christmas","2018-12-15",3.334
"शून्य","2018-12-21",4.212
"तुम्बाड","2018-10-12",4.897
"점박이 한반도의 공룡 2: 새로운 낙원","2018-12-25",6.199
"리벤져","2018-12-06",5.357
"Byomkesh Gotro","2018-10-12",5.398
"Still/Born","2018-12-06",4.225
"Intrigo: Death of an Author","2018-10-11",3.711
"Jingle Belle","2018-11-25",2.259
"Minha Vida em Marte","2018-12-27",8.42
"Notti Magiche","2018-11-08",4.437
"Amici come prima","2018-12-19",7.41
"Generation Iron 3","2018-12-07",4.936
"बधाई हो","2018-10-19",4.005
"Indivisible","2018-10-26",5.198
"Bhajjo Veero Ve","2018-12-14",6.15
"Between Worlds","2018-12-21",5.917
"Astral","2018-10-13",4.336
"Once Upon a Christmas Miracle","2018-12-02",6.716
"Bob Lazar: Area 51 and Flying Saucers","2018-11-01",4.432
"Cucuy: The Boogeyman","2018-10-13",4.571
"A Godwink Christmas","2018-11-17",5.368
"Blood Brother","2018-11-30",4.141
"The Marine 6: Close Quarters","2018-11-02",5.873
"冰封侠：时空行者","2018-11-02",4.35
"마약왕","2018-12-19",4.389
"Reunited at Christmas","2018-11-21",2.659
"Christmas at Grand Valley","2018-12-22",3.678
"American Nightmares","2018-10-11",4.228
"Genesis 2.0","2018-11-28",3.858
"PMC: 더 벙커","2018-12-26",8.315
"Bodied","2018-11-02",4.88
"I'll Take Your Dead","2018-10-01",5.294
"Surviving Christmas with the Relatives","2018-11-30",4.583
"The Party's Just Beginning","2018-12-07",7.323
"It's Christmas, Eve","2018-11-10",3.231
"Подбросы","2018-11-22",1.911
"Christmas in Love","2018-11-11",4.39
"A Shoe Addict's Christmas","2018-11-25",4.495
"Natale a 5 stelle","2018-12-07",4.931
"Porndemic","2018-12-04",4.557
"幸福城市","2018-12-13",3.81
"Diamantino","2018-11-28",3.087
"Take the Ball, Pass the Ball","2018-11-07",4.189
"Viper Club","2018-10-26",3.837
"Dead Squad: Temple of the Undead","2018-10-21",3.877
"Santiago, Italia","2018-12-06",3.962
"John Leguizamo's Latin History for Morons","2018-11-05",4.467
"Le Gendre de ma vie","2018-12-19",3.891
"Christmas at Pemberley Manor","2018-10-27",8.534
"Ola de crímenes","2018-10-04",3.702
"Christmas Catch","2018-12-02",4.733
"Last Vermont Christmas","2018-11-19",3.507
