"name","release","popularity"
"Ad Astra","2019-09-17",362.8
"Once Upon a Time… in Hollywood","2019-07-25",178.525
"Rambo: Last Blood","2019-09-19",125.987
"It Chapter Two","2019-09-04",108.492
"Hustlers","2019-09-12",83.191
"Abominable","2019-09-19",75.883
"ワンピーススタンピード","2019-08-09",85.783
"The Lion King","2019-07-12",68.514
"Fast & Furious Presents: Hobbs & Shaw","2019-08-01",73.725
"Red Shoes and the Seven Dwarfs","2019-07-25",77.875
"Angel Has Fallen","2019-08-21",54.522
"Ready or Not","2019-08-21",80.348
"Good Boys","2019-08-14",56.44
"Judy","2019-09-27",38.613
"Gundala","2019-08-29",85.533
"Dora and the Lost City of Gold","2019-08-08",59.015
"47 Meters Down: Uncaged","2019-08-15",49.4
"A Rainy Day in New York","2019-07-26",31.664
"Downton Abbey","2019-09-12",37.26
"Scary Stories to Tell in the Dark","2019-08-08",28.571
"Steven Universe: The Movie","2019-09-02",59.053
"The Angry Birds Movie 2","2019-08-02",27.499
"Danger Close: The Battle of Long Tan","2019-08-08",30.704
"Freaks","2019-08-09",44.065
"Dolemite Is My Name","2019-09-07",44.79
"Midsommar","2019-07-03",27.919
"劇場版 仮面ライダージオウ Over Quartzer!","2019-07-26",32.273
"The Report","2019-09-12",25.815
"Burn","2019-08-23",22.436
"Descendants 3","2019-08-09",27.154
"Stuber","2019-07-11",22.871
"Lucky Day","2019-09-18",11.382
"Crawl","2019-07-11",25.425
"The Goldfinch","2019-09-12",33.456
"Тайна Печати Дракона","2019-08-16",19.142
"Playmobil: The Movie","2019-08-07",21.162
"Doom: Annihilation","2019-09-30",20.44
"Official Secrets","2019-08-30",39.531
"The Room","2019-09-19",28.003
"Blinded by the Light","2019-08-09",17.304
"Killerman","2019-08-08",28.687
"Portrait de la jeune fille en feu","2019-09-18",17.812
"Running with the Devil","2019-08-29",12.625
"Angel of Mine","2019-08-15",15.051
"The Kitchen","2019-08-08",15.665
"Where'd You Go, Bernadette","2019-08-16",17.587
"Dauntless: The Battle of Midway","2019-09-06",10.069
"The Current War","2019-07-26",13.518
"Fractured","2019-09-22",18.088
"Rogue Warfare: The Hunt","2019-09-16",8.405
"The Operative","2019-07-24",7.862
"In the Tall Grass","2019-09-20",16.115
"Bacurau","2019-08-29",15.288
"My Days of Mercy","2019-07-11",7.913
"The Farewell","2019-07-12",16.005
"In the Shadow of the Moon","2019-09-27",12.153
"സത്യം പറഞ്ഞാൽ വിശ്വസിക്കുവോ ?","2019-07-12",14.588
"The Art of Self-Defense","2019-07-12",16.329
"仮面ライダービルドNEW WORLD　仮面ライダーグリス","2019-09-06",17.993
"Brittany Runs a Marathon","2019-08-23",15.088
"Batman: Hush","2019-07-19",12.09
"The Art of Racing in the Rain","2019-08-08",15.696
"The Laundromat","2019-09-05",12.374
"The Peanut Butter Falcon","2019-08-09",15.217
"Night Hunter","2019-08-29",16.186
"Tall Girl","2019-09-13",15.526
"The Nightingale","2019-08-02",12.646
"Light of My Life","2019-08-09",13.492
"The Red Sea Diving Resort","2019-07-28",10.876
"Overcomer","2019-08-22",16.466
"사자","2019-07-31",13.341
"J’accuse","2019-09-30",10.365
"I See You","2019-09-11",8.841
"The Panti Sisters","2019-09-13",9.817
"American Son","2019-09-12",7.927
"Can You Keep a Secret?","2019-09-13",13.312
"この素晴らしい世界に祝福を！紅伝説","2019-08-30",6.645
"Hello, Love, Goodbye","2019-07-31",11.571
"天気の子","2019-07-19",13.734
"诛仙 Ⅰ","2019-09-13",8.847
"Point Blank","2019-07-12",9.822
"A Million Little Pieces","2019-08-30",6.794
"Falling Inn Love","2019-09-04",11.989
"Sextuplets","2019-08-16",9.715
"Little Monsters","2019-08-29",12.561
"Dark Light","2019-08-25",13.443
"Mary","2019-09-19",11.059
"The Dating List","2019-09-24",9.019
"American Bistro","2019-08-13",10.488
"Between Two Ferns: The Movie","2019-09-20",10.894
"3 from Hell","2019-09-26",11.641
"சிவப்பு மஞ்சள் பச்சை","2019-09-06",8.47
"Dead Water","2019-07-23",7.314
"Haunt","2019-09-13",12.96
"Chiara Ferragni: Unposted","2019-09-17",10.357
"A Score to Settle","2019-08-01",8.636
"Dave Chappelle: Sticks & Stones","2019-08-26",10.558
"Paradise Hills","2019-08-29",36.236
"K-12","2019-09-05",10.511
"Secret Obsession","2019-07-18",9.346
"Out of Liberty","2019-09-13",7.231
"Ibiza","2019-07-03",8.999
"水怪","2019-07-12",18.283
"Girls with Balls","2019-07-26",6.271
"Extra Ordinary","2019-09-27",6.161
"Otherhood","2019-08-13",8.435
"Driven","2019-08-15",7.916
"Nabarvené ptáče","2019-09-12",3.839
"Bloodline","2019-09-20",6.45
"The Informer","2019-08-30",8.285
"A Vida Invisível","2019-08-30",5.372
"哪吒之魔童降世","2019-07-26",9.845
"After the Wedding","2019-08-09",6.01
"Il nido","2019-08-15",3.833
"Luce","2019-08-02",6.767
"Rocko's Modern Life: Static Cling","2019-07-24",5.796
"Teen Titans Go! vs. Teen Titans","2019-07-21",8.66
"Martin Eden","2019-09-04",7.543
"வெண்ணிலா கபடிகுழு 2","2019-07-12",4.4
"പൊറിഞ്ചു മറിയം ജോസ്","2019-08-23",7.893
"Iron Fists and Kung Fu Kicks","2019-08-02",4.46
"Inside Man: Most Wanted","2019-09-24",8.173
"Lying and Stealing","2019-07-12",8.633
"Lucy in the Sky","2019-09-20",5.152
"Rabid","2019-08-26",7.523
"Il signor Diavolo","2019-08-22",7
"Don't Let Go","2019-08-30",10.199
"Travis Scott: Look Mom I Can Fly","2019-08-28",9.188
"The Angel of Auschwitz","2019-07-01",7.842
"엑시트","2019-07-31",6.306
"Deux moi","2019-09-11",5.532
"Horrible Histories: The Movie - Rotten Romans","2019-07-26",5.919
"Invader ZIM: Enter the Florpus","2019-08-16",7.448
"中国机长","2019-09-30",11.859
"Hello, Privilege. It's Me, Chelsea","2019-09-13",6.55
"Them That Follow","2019-08-02",5.574
"劇場版 おっさんずラブ 〜LOVE or DEAD〜","2019-08-23",5.519
"Born a King","2019-09-26",6.403
"La Vie scolaire","2019-08-28",8.756
"Villains","2019-09-20",9.878
"الفيل الأزرق: الجزء الثاني","2019-07-25",7.979
"Zeroville","2019-09-19",5.671
"Aziz Ansari: Right Now","2019-07-09",5.717
"American Factory","2019-08-21",7.678
"騎士竜戦隊リュウソウジャー THE MOVIE タイムスリップ！恐竜パニック!!","2019-07-26",11.859
"A Shaun the Sheep Movie: Farmageddon","2019-09-26",5.55
"The Fanatic","2019-08-30",9.691
"Awake","2019-08-01",5.341
"Padre no hay más que uno","2019-08-02",6.471
"Brian Banks","2019-08-09",5.108
"Corporate Animals","2019-09-20",5.029
"సాహో","2019-08-29",6.405
"타짜: 원 아이드 잭","2019-09-11",7.816
"Hoax","2019-08-20",5.218
"장사리: 잊혀진 영웅들","2019-09-25",6.709
"Jacob's Ladder","2019-08-23",4.25
"The Game Changers","2019-09-16",8.585
"Critters Attack!","2019-07-13",5.792
"The Take Down","2019-07-25",3.36
"Palm Beach","2019-08-08",4.584
"The True Adventures of Wolfboy","2019-07-02",3.721
"Prey","2019-07-18",4.838
"La Grande Classe","2019-08-30",5.682
"Knives and Skin","2019-07-09",4.154
"The Male Gaze: The Heat of the Night","2019-07-15",8.596
"Bennett's War","2019-08-30",5.915
"Before You Know It","2019-08-30",6.212
"Lego DC Batman: Family Matters","2019-07-21",5.387
"छिछोरे","2019-09-05",5.387
"Itsy Bitsy","2019-08-10",4.596
"Dark Encounter","2019-08-23",3.769
"Candy Corn","2019-09-13",3.672
"舞出我人生舞所不能","2019-07-25",2.033
"Hex","2019-09-06",5.029
"Whitney Cummings: Can I Touch It?","2019-07-30",4.474
"Ms. Purple","2019-09-06",6.305
"7500","2019-08-09",2.24
"Supervized","2019-07-16",4.315
"Loqueesha","2019-07-12",2.957
"Phil","2019-07-05",3.553
"Scooby-Doo! Return to Zombie Island","2019-07-21",5.493
"Bill Burr: Paper Tiger","2019-09-10",5.647
"Guest of Honour","2019-09-03",1.957
"5 è il numero perfetto","2019-08-29",3.846
"Riot Girls","2019-09-13",4.985
"The Huntress: Rune of the Dead","2019-08-23",3.493
"Roubaix, une lumière","2019-08-21",5.889
"10 Minutes Gone","2019-09-30",7.667
"The Friend","2019-09-05",5.12
"The Cleansing Hour","2019-09-19",4.328
"Whindersson Nunes: Adulto","2019-08-15",4.473
"The Wheel","2019-09-02",4.717
"The Wedding Year","2019-09-20",3.926
"I'm Ellenya L.","2019-09-13",4.24
"Monos","2019-09-05",10.178
"肥龍過江","2019-08-01",5.918
"The Zoya Factor","2019-09-20",3.301
"Frankenstein's Monster's Monster, Frankenstein","2019-07-16",5.193
"To Your Last Death","2019-08-23",2.511
"Diecisiete","2019-09-21",3.539
"Bikram: Yogi, Guru, Predator","2019-09-10",4.606
"Waiting for the Barbarians","2019-09-06",2.907
"Into the Ashes","2019-07-19",5.683
"Nereus","2019-08-13",3.367
"Armstrong","2019-07-12",3.645
"Animals","2019-08-02",7.736
"Il sindaco del Rione Sanità","2019-09-30",3.409
"Dua Garis Biru","2019-07-11",5.11
"Sonora: The Devil’s Highway","2019-09-06",2.747
"Frankie","2019-08-28",2.813
"유열의 음악앨범","2019-08-28",3.691
"The Weekend","2019-09-13",3.268
"Color Out of Space","2019-09-20",4.348
"The Banana Splits Movie","2019-08-26",3.296
"Battle at Big Rock","2019-09-15",7.022
"ولاد رزق 2","2019-08-08",6.065
"Mike Wallace Is Here","2019-07-26",5.099
"Vault","2019-07-25",5.993
"봉오동 전투","2019-08-07",3.85
"Ride Like a Girl","2019-09-26",2.141
"3 Days with Dad","2019-09-13",2.86
"Proxima","2019-09-21",2.941
"I Am Patrick Swayze","2019-08-18",6.191
"Holiday Hell","2019-09-06",2.58
"Aquarela","2019-08-16",6.245
"Tiffany Haddish Presents: They Ready","2019-08-01",6.307
"南方车站的聚会","2019-09-06",4.01
"School Spirit","2019-08-02",4.69
"Isabelle","2019-09-12",5.411
"Mar De Sombras","2019-09-20",3.926
"Blood Machines","2019-09-14",1.422
"8 Days: To the Moon and Back","2019-07-10",4.962
"Submission","2019-09-19",1.815
"The Mummy: Rebirth","2019-08-13",5.424
"She's Just a Shadow","2019-07-19",4.221
"The Haunted","2019-09-12",2.86
"Hell House LLC III: Lake of Fire","2019-09-19",4.642
"Au nom de la terre","2019-09-25",4.651
"Share","2019-07-27",4.032
"False Witness","2019-07-22",3.926
"Sweetness in the Belly","2019-09-06",1.97
"Saving Zoë","2019-07-12",5.742
"Inséparables","2019-09-04",4.409
"Mio fratello rincorre i dinosauri","2019-09-05",6.325
"Where's My Roy Cohn?","2019-09-20",3.403
