"name","release","popularity"
"The Mechanic","2011-01-13",15.4
"Catarina e os Outros","2011-03-01",8.059
"23-F: la película","2011-02-23",30.095
"One Day","2011-03-02",13.533
"Gnomeo & Juliet","2011-01-13",18.479
"Sucker Punch","2011-03-24",22.096
"The Twilight Saga: Breaking Dawn - Part 1","2011-03-15",15.86
"Kill Bill: The Whole Bloody Affair","2011-03-28",16.883
"Husk","2011-01-28",12.421
"Red Riding Hood","2011-03-11",12.896
"Rango","2011-03-02",16.682
"The Adjustment Bureau","2011-03-03",17.861
"Unknown","2011-02-16",13.148
"Just Go with It","2011-02-10",12.72
"Drive Angry","2011-02-24",14.366
"Limitless","2011-03-08",16.747
"Source Code","2011-03-30",14.057
"I Am Number Four","2011-02-18",13.386
"No Strings Attached","2011-01-21",14.544
"Barbie: A Fairy Secret","2011-03-01",9.389
"The Eagle","2011-02-08",9.925
"Paul","2011-02-14",9.583
"Chalet Girl","2011-02-02",10.934
"Mars Needs Moms","2011-03-09",11.696
"Kill the Irishman","2011-03-10",12.118
"The Green Hornet","2011-01-12",14.817
"Battle: Los Angeles","2011-03-08",11.109
"The Roommate","2011-02-04",11.967
"All Star Superman","2011-02-22",8.23
"Beverly Hills Chihuahua 2","2011-02-01",7.404
"Hop","2011-03-30",10.46
"Coriolanus","2011-02-14",9.89
"Jane Eyre","2011-03-11",12.083
"The Lincoln Lawyer","2011-03-17",13.34
"The Rite","2011-01-28",10.322
"Beastly","2011-01-21",9.249
"Femmine contro maschi","2011-02-04",9.132
"The Suite Life Movie","2011-03-25",7.1
"新少林寺","2011-01-20",8.18
"Manuale d'am3re","2011-02-25",10.988
"The Dilemma","2011-01-13",8.929
"La luna","2011-01-01",8.976
"Ironclad","2011-03-03",8.544
"جدایی نادر از سیمین","2011-03-15",8.079
"Happythankyoumoreplease","2011-03-04",6.472
"Qualunquemente","2011-01-21",5.492
"Cedar Rapids","2011-02-11",8.487
"Take Me Home Tonight","2011-03-04",10.841
"Season of the Witch","2011-01-07",15.646
"Submarine","2011-03-18",7.858
"Avalon High","2011-01-28",9.336
"The Devil's Double","2011-02-11",8.36
"A Little Bit of Heaven","2011-02-03",8.537
"Ice 2020","2011-01-02",7.207
"Justin Bieber: Never Say Never","2011-02-11",8.315
"Big Mommas: Like Father, Like Son","2011-02-16",9.93
"Win Win","2011-03-18",7.478
"तनु वेड्स मनु","2011-02-25",6.321
"Hall Pass","2011-02-25",9.882
"The Divide","2011-03-13",10.66
"Water for Elephants","2011-03-15",8.37
"There Be Dragons","2011-03-25",7.172
"Diary of a Wimpy Kid: Rodrick Rules","2011-03-25",10.191
"Zeitgeist: Moving Forward","2011-01-15",7.428
"Silent House","2011-01-21",6.137
"Dylan Dog: Dead of Night","2011-03-16",6.225
"Bruna Surfistinha","2011-02-25",8.76
"A torinói ló","2011-02-15",6.243
"Megamind: The Button of Doom","2011-02-25",6.694
"Elektra Luxx","2011-03-11",7.504
"Love","2011-02-02",6.693
"Sanctum","2011-02-03",7.626
"Detention","2011-03-16",8.35
"The Details","2011-01-01",6.975
"Mean Girls 2","2011-01-23",8.535
"Scream of the Banshee","2011-03-26",5.054
"Passion Play","2011-01-10",5.985
"The Beaver","2011-02-11",9.048
"From Prada to Nada","2011-01-28",6.824
"Nessuno mi può giudicare","2011-03-18",6.274
"The Sunset Limited","2011-02-12",7.368
"Che bella giornata","2011-01-05",6.31
"Absentia","2011-03-03",6.746
"Sound of My Voice","2011-01-22",5.499
"Recoil","2011-01-01",6.707
"Born to Race","2011-03-19",7.277
"The Resident","2011-02-10",10.411
"United","2011-01-02",6.001
"Evidence","2011-02-28",7.749
"Rundskop","2011-02-02",7.104
"Ma part du gâteau","2011-03-16",4.658
"Take Me Home","2011-03-02",5.95
"Pina","2011-02-24",8.294
"Foster","2011-02-10",5.385
"The Big Bang","2011-01-17",6.335
"Largo Winch II","2011-02-16",6.746
"恋の罪","2011-01-21",4.952
"The Forger","2011-03-09",5.766
"51","2011-02-26",5.377
"Wake Wood","2011-03-25",6.937
"Age of the Dragons","2011-03-21",6.227
"Corman's World: Exploits of a Hollywood Rebel","2011-01-21",4.922
"Life in a Day","2011-01-27",6.969
"Primos","2011-02-04",5.114
"Little Deaths","2011-02-25",5.532
"Box Office 3D - Il film dei film","2011-01-01",5.807
"Bill Cunningham New York","2011-03-16",5.478
"Le Marquis","2011-03-09",4.675
"S.W.A.T.: Firefight","2011-03-01",6.485
"Pressed","2011-02-18",4.205
"The Music Never Stopped","2011-03-18",6.937
"Matrimonio a Parigi","2011-01-01",5.195
"Torrente 4: Lethal crisis","2011-03-11",6.329
"Noordzee, Texas","2011-03-16",6.43
"Sala samobójców","2011-03-04",5.997
"The Lost Valentine","2011-01-30",5.29
"Little Birds","2011-01-23",5.57
"La Chance de ma vie","2011-01-05",5.931
"Ticking Clock","2011-01-04",5.247
"These Amazing Shadows","2011-01-22",5.656
"Collision Earth","2011-03-24",3.944
"Undefeated","2011-03-13",5.821
"Un cuento chino","2011-03-24",5.992
"Underground","2011-01-01",5.182
"Battle of Los Angeles","2011-03-10",6.245
"Medianeras","2011-02-01",5.722
"The Task","2011-01-28",4.354
"A Bag of Hammers","2011-03-12",5.163
"Best Player","2011-03-12",5.489
"Kokowääh","2011-02-02",5.549
"Seconds Apart","2011-01-28",4.569
"C'è chi dice no","2011-01-01",4.463
"Behemoth","2011-01-15",3.629
"American Grindhouse","2011-02-04",4.914
"Rites of Spring","2011-01-01",4.914
"Elevator","2011-01-01",5.886
"Выкрутасы","2011-01-12",4.464
"ONE PIECE 3D 麦わらチェイス","2011-03-19",3.77
"Wings of Life","2011-03-16",4.877
"Seeing Heaven","2011-03-02",4.561
"The Whisperer in Darkness","2011-03-12",3.874
"Starbuck","2011-01-01",5.313
"Christopher and His Kind","2011-03-19",4.305
"Immaturi","2011-01-21",6.496
"TRON: The Next Day","2011-03-14",4.009
"His Way","2011-03-04",4.052
"Dirty Movie","2011-02-15",3.213
"The Chaperone","2011-02-11",5.253
"Demoted","2011-03-12",4.688
"Camel Spiders","2011-03-04",4.158
"Girl Walks Into a Bar","2011-03-07",5.211
"Amanda Knox: Murder on Trial in Italy","2011-02-21",5.35
"Super Eruption","2011-03-08",3.979
"Jack Falls","2011-03-21",3.869
"Hikayat Merong Mahawangsa","2011-03-10",2.795
"Mega Python vs. Gatoroid","2011-01-29",3.268
"Blinky™","2011-03-21",5.001
"Mask Maker","2011-01-01",3.709
"Choose","2011-01-17",3.99
"조선명탐정: 각시투구꽃의 비밀","2011-01-27",3.226
"Vegucated","2011-01-09",4.648
"Fertile Ground","2011-01-28",4.794
"The Fantastic Flying Books of Mr Morris Lessmore","2011-01-30",3.739
"Barely Legal","2011-01-01",4.473
"Czarny Czwartek. Janek Wiśniewski padł","2011-02-25",2.913
"Here","2011-01-21",5.054
"Hindenburg","2011-02-05",1.914
"Route Irish","2011-03-16",4.053
"The Strange Thing About the Johnsons","2011-01-22",4.617
"Iron Invader","2011-02-12",4.368
"VIPs","2011-03-25",4.144
"Miss Representation","2011-01-20",5.303
"Poupoupidou","2011-01-12",3.323
"The Frontier Boys","2011-02-18",2.487
